Discipline,Effect,Description
Social Psychology,One mind per hemisphere,"* **One mind per hemisphere **(split-brain syndrome). Surgical severing of the corpus callosum leads to the split-brain phenomenon, which is characterised by 1) a response × visual field interaction, 2) strong hemispheric specialisation 3) confabulations after left-hand actions 4) split attention, and 5) the inability to compare stimuli across the midline. Together, these reported effects have been interpreted as evidence for split consciousness. Surgical procedure does not result in the development of two independent minds or consciousnesses within one brain. Instead, the findings suggest that the two hemispheres continue to work together, even in the absence of the corpus callosum."
Social Psychology,Hydrocephaly,"* **Hydrocephaly.** The effect of massive volume loss improving cognition. Hydrocephalus, also known as ""water on the brain,"" is a condition in which there is an abnormal accumulation of cerebrospinal fluid (CSF) in the ventricular system of the brain. This can cause the ventricles to become enlarged, putting pressure on the brain and causing a wide range of symptoms, depending on the severity of the condition and the age of the individual. There are two types of Hydrocephalus: congenital and acquired. Congenital Hydrocephalus is present at birth and is caused by a genetic or developmental abnormality. Acquired Hydrocephalus develops later in life and can be caused by a variety of factors, such as a brain tumour, infection, or injury."
Social Psychology,Readiness potentials,"* **Readiness potentials. **Readiness potentials are neural signals that are observed in the brain prior to voluntary movements. They are typically measured using electroencephalography (EEG) and are thought to reflect the neural activity associated with preparing for a movement, occurring several hundred milliseconds before the movement occurred, suggesting that the brain prepares for the movement before the person is consciously aware of the decision to move. RP have been observed in various regions of the brain, including the primary motor cortex, supplementary motor area, and premotor cortex. [Schurger](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8192467/) et al. (2021) for a glossary. The discovery of readiness potentials (RP) has been used to argue against the concept of free will, as it suggests that the neural activity associated with a voluntary movement starts before the person is consciously aware of the decision to move."
Social Psychology,Left-Brain vs. Right-Brain Hypothesis,"* **Left-brain vs. Right-brain Hypothesis. **Individuals may be left-brain dominant or right-brain dominant based on personality and cognitive style. Specifically, the hypothesis proposes that the two hemispheres of the brain have different functions and abilities, with the left hemisphere being associated with logical, analytical, and verbal skills, and the right hemisphere being associated with creative, intuitive, and spatial skills. This idea has been popularised in popular culture, but it is not supported by scientific evidence."
Social Psychology,Oxytocin on trust,* **Oxytocin on trust. **Intranasal administration of oxytocin increases trust in strangers in a laboratory setting.
Social Psychology,Structural brain-behaviour correlations - the association between behavioural activation and white matter integrity,* **Structural brain-behaviour correlations - the association between behavioural activation and white matter integrity.** Individual differences in the sensitivity to signals of reward as indexed by BAS-Total and in the tendency to seek out potentially rewarding experiences as measured by BAS-Fun are positively correlated with diffusion measures of several white matter pathways.
Social Psychology,Structural brain-behaviour correlations - the association between social network size and grey matter volume,"* **Structural brain behaviour correlations** - **The association between social network size and grey matter volume**. Individual differences in the number of Facebook friends (FBN) are positively correlated with grey matter volume in several brain areas: left middle temporal gyrus (MTG), right superior temporal sulcus (STS), rich entorhinal cortex (EC), left and right amygdala."
Social Psychology,Structural brain-behaviour correlations - the association between distractibility and grey matter volume,Variability in self-reported distractibility is positively correlated with grey matter volume in the left superior parietal lobule (SPL) and negatively correlated with grey matter volume in medial pre-frontal cortex (mPFC).
Social Psychology,Structural brain-behaviour correlations - the association between attention and cortical thickness,"Individual differences in executive control are negatively correlated with cortical thickness in left anterior cingulate cortex (ACC), left superior temporal gyrus (STG), and right middle temporal gyrus (MTG), whereas variation in alerting scores is negatively correlated with cortical thickness in the left superior parietal lobule (SPL)."
Social Psychology,Structural brain-behaviour correlations - the association between control over speed/accuracy of perceptual decisions and white matter tracts strength,Individual differences in control over speed and accuracy of perceptual decisions are positively correlated with the strength of white matter tracts between the right presupplementary motor area (pre-SMA) and the right striatum.
Social Psychology,Structural brain-behaviour associations: the association between executive function and grey matter volume,Grey matter volume in the rostral dorsal premotor cortex is associated with individual differences in executive function as measured by the trail making test.
Social Psychology,Fear conditioning - Amygdala,"Animal research suggests that fear conditioning activates the amygdala ([LeDoux, 1993](https://doi.org/10.1111/j.1749-6632.1993.tb17246.x)), which has been replicated in some (but not all) human fMRI fear conditioning studies."
Social Psychology,Fear conditioning - vmPFC,"Animal research suggests that fear extinction activates the vmPFC ([Morgan et al., 1993](https://doi.org/10.1016/0304-3940(93)90241-C)); based on these findings from animal research, some (but not all) human fMRI fear conditioning/extinction studies found that the vmPFC becomes activated during fear extinction recall."
Social Psychology,Fear conditioning - Theta Oscillations,"* **Fear conditioning - Theta oscillations**. Animal research suggests that fear conditioning evokes prefrontal theta activity, which can be measured with EEG in humans."
Social Psychology,Fear conditioning - Late Positive Potential (LPP),"* **Fear conditioning - Late Positive Potential (LPP). **Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG)."
Social Psychology,Fear conditioning - Bradycardia / heart rate modulation,* **Fear conditioning - Bradycardia / heart rate modulation. **Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia).
Social Psychology,Bouba/kiki effect,"* **Bouba/kiki effect** (sound symbolism). When presented with sounds (e.g., the words “bouba” and “kiki”) and visual objects (e.g., a curvy shape and a spiky shape), humans make non-arbitrary mappings between sounds and objects (e.g., the curvy shape is consistently called “bouba”)."
Social Psychology,Human freezing like behaviour (postural sway) in threat processing,"* **Human freezing behaviour **(postural sway). A physiological response that occurs in response to a perceived threat. Overall, freezing-like behaviour has been replicated in multiple studies across different species and contexts, and is considered a robust and reliable measure of fear and anxiety."
Social Psychology,Glucose amplification of cortisol stress reactivity,"After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST)."
Social Psychology,Resting-state functional connectivity patterns can accurately classify individuals diagnosed with depression,Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression.
Social Psychology,Mozart effect on epilepsy,* **Mozart effect on epilepsy. **Listening to Mozart’s sonata KV448 can reduce or prevent epileptic seizures.​
Social Psychology,Effect of Alzheimer's disease on financial capacity performance in older adults,* **Effect of Alzheimer’s disease on financial capacity performance in older adults**. The influence of neurodegeneration as presented in patients with a diagnosis of Alzheimer’s disease on financial capacity tasks.​
Social Psychology,Effect of Parkinson's disease on financial capacity performance in older adults,* **Effect of Parkinson’s disease on financial capacity performance in older adults.** The influence of neurodegeneration as presented in patients with a diagnosis of Parkinson’s disease on financial capacity tasks
Social Psychology,Effect of Mild Cognitive Impairment on financial capacity performance in older adults,* **Effect of Mild Cognitive Impairment (MCI) on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of Mild Cognitive Impairment on financial capacity tasks.
Social Psychology,Effect of frontotemporal dementia on financial capacity performance in older adults,* **Effect of frontotemporal dementia on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of frontotemporal dementia on financial capacity tasks.
Social Psychology,Fear Conditioning - Association between cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI),* **Fear Conditioning - Association of cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI)** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of the mOFC and the extinction retention index in fear conditioning paradigms.​
Social Psychology,Fear Conditioning - Association between cortical thickness of the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training,* **Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​
Social Psychology,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,* **Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training **(Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​
Social Psychology,Low self-esteem on poor mental health/psychological outcomes,"Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours."
Social Psychology,Rorschach Test,"* **Rorschach Test** (Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both."
Social Psychology,Lunar effect,* **Lunar effect **(Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​
Social Psychology,Lack of a Theory of Mind in autistic people,* **Lack of a Theory of Mind is universal in autism**. All autistic people fail to understand that other people have a mind or that they themselves have a mind.
Social Psychology,Childhood adversity and drug liking/enjoyment,* **Childhood adversity and drug-induced feeling good and drug liking**. Childhood adversity increases drug liking and feeling good.
Social Psychology,Early Life Adversity and (Adult) Depression,* **Early Life Adversity and (Adult) Depression. **Early life adversity (childhood maltreatment) is associated with higher depression symptoms.
Social Psychology,Lead and criminality,Excess risk for criminal behavior in adulthood exists when an individual is exposed to lead in utero or in the early years of childhood.​
Social Psychology,Precognition,Undergraduates improve memory test performance by studying after the test.
Social Psychology,Fertility facial-preferences effect,Women prefer more masculine rather than feminised faces of potential partners during the fertile phase of their menstrual cycle. The preference for secondary sexual traits in male face shapes varies with the probability of conception.
Social Psychology,Dunbar’s number,**Dunbar’s number**. The number of neocortical neurons limits the organism's information-processing capacity and this then limits the number of relationships that an individual can monitor simultaneously. Humans are cognitively or emotionally limited to 150 relationships with other people.
Social Psychology,Romantic priming,"Looking at attractive women increases men’s conspicuous consumption, time discount and risk-taking."
Social Psychology,Implicit analytic priming,* **Implicit analytic priming** Implicitly priming analytic thinking by seeing a photo of Auguste Rodin's The Thinker decreases belief in God.
Social Psychology,Menstrual cycle version of the dual-mating-strategy,"* **Menstrual cycle version of the dual-mating-strategy. **Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”."
Social Psychology,Menstrual cycle and lunar influence,Women with a 29.5+/-1 day menstrual cycle tend to menstruate during a full moon.
Social Psychology,Large parents have more sons,* **Large parents have more sons. **Bigger and taller parents have more sons.
Social Psychology,Men’s strength predicts opposition to egalitarianism,* **Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality.
Social Psychology,Sex differences in mate preferences,"Men and women differ in preferences of a potential mate which reflects different evolutionary selection pressures. Across 33 countries (original study; 45 - replication) researchers found universal sex differences such as: men, more than women, prefer attractive, young mates, and  women, more than men, prefer older mates with financial prospects."
Social Psychology,Men's preference for competition,"* **Men’s preference for competition**. Men are more likely to select tournaments than women, because women tend to avoid competition and men look for competition."
Social Psychology,Orgasm gap,"* **Orgasm gap **(Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​"
Social Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged."
Social Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters."
Social Psychology,Birth order effect on sexuality,"* **Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons."
Social Psychology,Sympathetic nervous system activity predicts political ideology,There are psychophysiological correlates of political ideology – conservatives react with higher levels of electrodermal activity (EDA)/ skin conductance to threatening stimuli than liberals.
Social Psychology,5-HTTLPR,* **5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response.
Social Psychology,Critical period hypothesis,"* **Critical period** **hypothesis**. How grammar-learning ability changes with age, finding that it is intact to the crux of adulthood (17.4 years) and then declines steadily."
Social Psychology,Motivational role of L2 vision,* **Motivational role of L2 vision. **Mental imagery of oneself as a successful language user in the future can enhance one’s motivation and performance.
Social Psychology,Flipped learning,"* **Flipped learning**, students learn better if they do homework about a lesson before coming to class to study that lesson."
Social Psychology,Mindsets,"* **Mindsets.** People’s beliefs about whether their talents and abilities are subject to growth and improvement. In recent years, mindset proponents have argued that interventions work but only for low SES populations or low-performing students."
Social Psychology,First instinct fallacy,"* **First instinct fallacy**, the false belief that one’s initial thoughts/ideas/answers are right and closer to the truth than revised thoughts/ideas/answers. Surveys have shown that students generally believe that changing answers on a multiple-choice test lowers test scores, but research seems to show that most people who change their answers usually improve their test scores."
Social Psychology,Mirror reading and writing in dyslexia,"* **Mirror reading and writing in dyslexia** (Strephosymbolia). Strephosymbolia is a term coined to describe a learning disorder in which symbols and especially phrases, words, or letters appear to be reversed or transposed in reading. The incidence of strephosymbolia seems to be widely documented.​"
Social Psychology,Pen mightier than the screen,Learning for conceptual-application questions is more effective when taking longhand notes than with a laptop.
Social Psychology,Sleep-assisted learning,* **Sleep-assisted learning **(hypnopedia). Memorising new information while sleeping.
Social Psychology,Dr. Fox effect,"* **Dr. Fox Effect. **Students rate educators higher based on qualities beyond the educational content itself (e.g., charisma, enthusiasm, entertainment)."
Social Psychology,Cooperative learning,"* **Cooperative learning** (peer learning, collaborative learning). The idea that learners that work together in cooperative groups under positive interdependence reach better learning outcomes compared to students working individually (no interdependence) or competitively (negative interdependence).​"
Social Psychology,Stress as the main/sole cause of peptide ulcers,"* **Stress as the main/sole cause of peptic ulcers**. Stress was the main cause of peptic ulcers (with secondary contributing factors thought to be excess stomach acid, spicy food)."
Social Psychology,Graphic images and cigarette use,* **Graphic images and cigarette use **(Graphic warning labels). Introducing graphic warning labels (GWL) on cigarette packages reduces smoking prevalence.​
Social Psychology,Social isolation – all-cause mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people, is related with higher risk of mortality from all causes."
Social Psychology,Social isolation – cardiovascular disease mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cardiovascular diseases.​"
Social Psychology,Social isolation – cancer mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cancer.​"
Social Psychology,Loneliness – all-cause mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from all causes."
Social Psychology,Loneliness – cardiovascular disease mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cardiovascular diseases."
Social Psychology,Loneliness – cancer mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cancer.​"
Social Psychology,Self-inflicted pain out of boredom,"* **Self-inflicted pain out of boredom.** Boredom is an important impetus for self-injury,  Participants could administer electric shocks in a boring, sad or neutral condition."
Social Psychology,Stereotype threat on gender differences in political knowledge,Making gender stereotypes about political knowledge salient decreases womens’ performance on political knowledge tests.
Social Psychology,Avoidance of dissonance-arousing situations,* **Avoidance of dissonance-arousing situations** (Ideological asymmetry in dissonance avoidance)**. **There are differences in how liberals and conservatives respond to dissonance-arousing situations – conservatives are more strongly motivated to avoid dissonance-arousing tasks than liberals.​​
Social Psychology,Depressed-entitlement effect among women,"In the absence of clear-cut standards of comparison, women reward/pay themselves significantly less money than do men for the same amount of work."
Social Psychology,Gender effects of political candidates,Voters evaluate political candidates based on their gender or sex.
Social Psychology,Race/ethnicity effects of political candidates,Voters evaluate political candidates based on their race or ethnicity.
Social Psychology,The democratic peace,Citizens of democratic states are significantly more likely to approve of war against non-democratic states than war against other democracies.​
Social Psychology,Moral foundations across the political spectrum,"Moral Foundations Theory is a framework that claims that humans have five innate and universal moral values: Care, Fairness, Loyalty, Authority, and Purity. While extremely influential, it has failed to replicate, with studies critiquing its factor structure (Harper and Rhodes 2020) and universality (Davis et. al. 2016) .​"
Social Psychology,Backfire,Being confronted with corrections of previously held political misconceptions can lead to an even increased alignment with those misperceptions.
Social Psychology,Conspiracy mentality and political extremism,"* **Conspiracy mentality and political extremism.** Refers to a positive relationship between** **the general tendency to endorse conspiracy theories (i.e., conspiracy mentality) and the political ideologies at either side of the political spectrum (i.e., extreme political ideologies)."
Social Psychology,"Voters ""elect"" rather than ""affect"" policies","* **Voters elect rather than affect policies.** Elected politicians do not change their policies (measured through roll call votes) in response to changes in the median voters policy preferences. This means that voters merely elect politicians with policies that they support, but that they do not affect these politicians policies afterward."
Social Psychology,Personality correlates of sociopolitical attitudes,* **Personality correlates of sociopolitical attitudes.** Liberals tend to socially conform whereas conservatives are more willing to violate established societal conventions.
Social Psychology,Attractive politician effect,* **Attractive politician effect.** Voters tend to vote more for physically attractive candidates and politicians.
Social Psychology,Working-class authoritarianism,The lower (or working) classes are more likely to possess authoritarian tendencies and to favour the ideology of anti-democratic movements in comparison with their middle and higher class counterparts.
Social Psychology,Political Tolerance Asymmetry,"* **Political Tolerance Asymmetry** (Asymmetry Hypothesis of Tolerance). Political tolerance and intolerance differ in their underlying psychology, making it easier to persuade the tolerant to become less tolerant than to convince the intolerant to become more tolerant.​"
Social Psychology,Cognitive ability of the right-wing – conservatism,* **Cognitive ability of the right-wing - conservatism**. Lower cognitive ability is associated with stronger endorsement of conservative attitudes.​
Social Psychology,Cognitive ability of the right-wing – authoritarianism,* **Cognitive ability of the right-wing - authoritarianism**. Lower cognitive ability is associated with higher authoritarianism.​
Social Psychology,Cognitive ability of the right-wing – dogmatism,* **Cognitive ability of the right-wing - dogmatism**. Lower cognitive ability is associated with higher dogmatism.​
Social Psychology,Cognitive ability of the right-wing – ethnocentrism,* **Cognitive ability of the right-wing - ethnocentrism**. Lower cognitive ability is associated with higher ethnocentrism.​
Social Psychology,Rigidity-of-the-right hypothesis – general conservatism,"* **Rigidity-of-the-right hypothesis**. Conservative political ideology is congenial to people who are cognitively, motivationally, and ideologically rigid.​"
Social Psychology,Rigidity-of-the-right hypothesis – economic conservatism,"* **Rigidity-of-the-right hypothesis**. Economic conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​"
Social Psychology,Rigidity-of-the-right hypothesis – social conservatism,"* **Rigidity-of-the-right hypothesis**. Social conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​"
Social Psychology,Motivated numeracy,* **Motivated numeracy.** People with higher numeracy are less accurate in evaluating contingency tables when the outcome is aligned with their politics.
Social Psychology,Conscientious conservatives fake news sharing,Personality moderates the relationship between political ideology and the sharing of misinformation; conscientious conservatives share less fake news.​
Social Psychology,Gaze following in monkeys,"* **Gaze following in monkeys.** Monkeys fail to follow the gaze of another agent, using the object choice task.  ​"
Social Psychology,Pointing following in monkeys,"Monkeys fail to follow the point of another agent, using the object choice task.  ​"
Social Psychology,Gaze following in nonhuman primates,"Nonhuman primates fail to follow the gaze of another agent, using the object choice task.  ​"
Social Psychology,Pointing following in nonhuman primates,"Nonhuman primates fail to follow the point of another agent, using the object choice task.  ​"
Social Psychology,Gaze following in domesticated dogs,"Dogs follow the gaze of another agent, using the object choice task.  ​"
Social Psychology,Pointing following in domesticated dogs,"Dogs follow the point of another agent, using the object choice task.  ​"
Social Psychology,Pointing following in coyotes,"Coyotes do not follow the pointing of a human agent, using the object choice task."
Social Psychology,Gaze following in wolves,"Wolves do not follow the gaze of a human agent, using the object choice task."
Social Psychology,Pointing following in wolves,"* **Pointing following in wolves, **wolves do not follow the pointing of a human agent, using the object choice task."
Social Psychology,Pointing following in Asian elephants,"Asian elephants do not follow the pointing of a human agent, using the object choice task."
Social Psychology,Pointing following in African elephants,"African elephants follow the pointing of a human agent, using the object choice task."
Social Psychology,Gaze following in horses,"Horses do not follow the gaze of a human agent, using the object choice task."
Social Psychology,Pointing following in horses,"Horses follow the pointing of a human agent, using the object choice task."
Social Psychology,Gaze following in domesticated pigs,"Domesticated pigs do not follow the gaze of a human agent, using the object choice task."
Social Psychology,Pointing following in domesticated pigs,"* **Pointing following in pigs**. Domesticated pigs do not follow the pointing of a human agent, using the object choice task."
Social Psychology,Pointing following in goats,"Goats follow the pointing of a human agent, using the object choice task."
Social Psychology,Gaze following in goats,"Goats do not follow the gaze of a human agent, using the object choice task."
Social Psychology,Eye narrowing in felines,Felines are more likely to narrow their eyes following a slow blink from humans.
Social Psychology,Pointing following in felines,"Felines do not follow the pointing of another agent, using the object choice task.  ​"
Social Psychology,Mirror self-recognition in magpies,* **Mirror-self recognition in magpies (Pica pica)**. Magpies have been suggested to be able to recognize themselves in the mirror implying a self-representation akin to chimpanzees​.
Social Psychology,Right-bias in hand use in chimpanzees,* **Right-bias in hand use in chimpanzees** (population handedness asymmetry). Chimpanzees have been proposed to be right-handed on the population level similar to humans.
Social Psychology,Cache protection in Eurasian jays,* **Cache protection in Eurasian jays (_Garrulus glandarius_)**. Eurasian jays may opt to cache in out-of-view locations to reduce the likelihood of conspecifics pilfering their caches.
Social Psychology,Desire-state attribution may govern food sharing in Eurasian jays (_Garrulus glandarius_),Male Eurasian jays may share food with their female partners in-line with the females current desire.
Social Psychology,Reasoning about hidden causal agents in New Caledonian Crows (_Corvus moneduloides_),* **Reasoning about hidden causal agents in New Caledonian Crows (Corvus moneduloides)**. New Caledonian Crows “showed greater vigilance towards an area from which they had previously witnessed a threatening “stick attack” if a hidden causal agent (a human) could still be present in that area compared to when a human person had visibly left.”
Social Psychology,Owners predict spatial impulsivity in dogs,"* **Owners predict spatial impulsivity in dogs** (spatial discounting, spatial discount, distance discounting). This phenomenon explores whether owner ratings of impulsivity in their dogs correlate with behavioural measures of the distance their dogs travel in a spatial impulsivity task. The original study (Brady et al., 2018) found that owner ratings of adult dog impulsivity (using the Dog Impulsivity Assessment Scale; Wright et al., 2011) matched levels of impulsivity in a spatial impulsivity task (but not for young dogs). Two subsequent studies using similar methods did not replicate this correlation, and an overall meta-analysis did not find evidence for an effect.​"
Social Psychology,Numerical ratio effects on quantity discrimination in elephants,"* **Numerical ratio effects on quantity discrimination in elephants **(Number discrimination, quantity/number judgments). The numerical ratio between quantities has been shown to predict the ability to discriminate quantities across a wide range of species. However, Irie-Sugimoto et al., (2009) found that elephants did not follow this pattern because numerical ratio did not predict performance. Perdue et al. (2012) replicated the study in elephants with a similar design and found that ratio predicted performance, reversing the findings of the original study.​"
Social Psychology,Contagious yawning in dogs,"Dogs have been shown to yawn more after observing a person yawn than after a control condition with other mouth movements. The original study (Joly-Mascheroni et al., 2008) found 72% of dogs yawned after watching a human yawn but none yawned after watching other mouth movements. Two subsequent studies did not replicate a difference in yawning between conditions (Harr et al., 2009; O’Hara and Reeve, 2010), but a third did find a difference (Madsen and Persson, 2012)."
Social Psychology,Temporal preferences in chimpanzees and bonobos,"* **Temporal preferences in chimpanzees and bonobos** (temporal/time discounting, intertemporal choice, delay choice). Chimpanzees (_Pan troglodytes_) wait longer than bonobos (_Pan paniscus_) in intertemporal choice tasks providing choices between smaller, sooner and larger, later food rewards. Rosati et al. (2007) found chimpanzees waited longer than bonobos at the Leipzig Zoo. Rosati and Hare (2013) confirmed this finding in a group of chimpanzees and bonobos at Tchimpounga Chimpanzee Sanctuary in Republic of Congo."
Social Psychology,Risk preferences in chimpanzees and bonobos,* **Risk preferences in chimpanzees and bonobos** (risky choice). Chimpanzees (_Pan troglodytes_) choose risky options more than bonobos (_Pan paniscus_) in risky choice tasks providing choices between guaranteed and risky food rewards. Heilbronner et al. (2008) found chimpanzees preferred risky options more than bonobos at the Leipzig Zoo. Rosati and Hare (2013) confirmed this finding in a group of chimpanzees and bonobos at Tchimpounga Chimpanzee Sanctuary in Republic of Congo.
Social Psychology,Typological Prevalence Hypothesis: Learnability of semantics (evidentiality),"* **Typological Prevalence Hypothesis.** The typological prevalence hypothesis is a proposal that suggests that certain structural features are more common across languages than others due to factors such as ease of learning, processing, and use. These more prevalent structural features are thought to be more likely to be retained in a language over time. Claims that  cross-linguistically more prevalent distinctions are easier to learn, or the more common a certain distinction or way of categorising across languages, the more cognitively natural (and easily learnable) for humans it should be. This effect is explored for the grammatical structure of evidentiality, or grammatical marking of information source in an utterance."
Social Psychology,Stuttering and bilingualism,Bilingual children had an increased risk of stuttering and a lower chance of recovery from stuttering than language exclusive and monolingual speakers.
Social Psychology,Stuttering and self-esteem,"* **Stuttering and self-esteem.** Children who stutter have higher self-esteem than children who do not stutter. However, the self-esteem of children who stutter declines once they reach adolescence."
Social Psychology,Stuttering and dyslexia co-occurrence,* **Stuttering and dyslexia co-occurrence. **People who stutter show high co-occurrence with dyslexia than neurotypical adults.
Social Psychology,Stuttering and phonological working memory impairment,"Adults who stutter show lower scores on phonological working memory, using a nonword repetition task."
Social Psychology,Stuttering and phonological monitoring impairment,* **Stuttering and phonological monitoring impairment.** Adults who stutter show lower scores on phonological monitoring than neurotypical adults.
Social Psychology,Stuttering and phonological awareness impairment (vs. neurotypicals),Adults who stutter show lower scores on phonological awareness than neurotypical adults.
Social Psychology,Stuttering and phonological awareness impairment (vs. dyslexia),Adults who stutter show similar scores on phonological awareness to dyslexic adults.
Social Psychology,Stuttering and reading fluency impairment (vs. dyslexia),Adults who stutter show similar scores on reading fluency to dyslexic adults.
Social Psychology,Struggling readers and stuttering co-occurrence,* **Struggling readers and stuttering co-occurrence. ** Dyslexic adults show higher co-occurrence with stuttering than neurotypical adults. ​
Social Psychology,Fake barn cases,* **Fake barn cases.** “Older participants are less likely than younger participants to attribute knowledge in fake-barn cases”.
Social Psychology,Stakes effect,"* **Stakes effect** (alternative terms = a subset of interest-relative invariantism, interest-relativity of knowledge, bank cases). Knowledge is sensitive to stakes. According to the [Stanford Encyclopedia of Philosophy](https://plato.stanford.edu/ENTRIES/experimental-philosophy/#Epis), ""a number of early findings from the experimental epistemology literature suggested that people's ordinary knowledge attributions actually don't depend on stakes."""
Social Psychology,Fear conditioning - Anxiety,"* **Fear conditioning - effect of trait anxiety/neuroticism on conditioning**. High trait anxiety/neuroticism leads to better fear conditioning. Evidence is mixed; some papers even find the reversed effect, depending on experimental paradigm (in particular, single-cue conditioning versus differential conditioning).​"
Social Psychology,Fear conditioning - Extraversion,* **Fear conditioning - effect of trait extraversion on conditioning**. Low trait extraversion leads to better fear conditioning.
Social Psychology,Effects of personality and education on health behaviour,* **Effects of personality and education on health behaviour** (effect of personality on the education gradient). Personality moderates the relationship between education and health behaviours.
