Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training,Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​,Winkelmann et al. 2015,https://link.springer.com/article/10.1007/s00429-015-1013-z#Tab1,10.1007/s00429-015-1013-z#Tab1,"n = 68/53,","31 (GS, July 2023)",68
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training,Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​,Ehlers et al. 2020,https://www.nature.com/articles/s41598-020-76683-1,,"n = 107,","5 (GS, July 2023)",107
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,Winkelmann et al. 2015,https://link.springer.com/article/10.1007/s00429-015-1013-z#Tab1,10.1007/s00429-015-1013-z#Tab1,"n = 68/53, citations =  (GS, July 2023)].",,68
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,Abend et al. 2019,https://www.sciencedirect.com/science/article/pii/S0006322319318566,,"n = 250,","55 (GS, July 2023)",250
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,Abend et al. 2020,https://elifesciences.org/articles/66169#appendix-1,,"n = 351,","2 (GS, July 2023)",351
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,Ehlers et al. 2020,https://www.nature.com/articles/s41598-020-76683-1,,"n = 107,","5 (GS, July 2023)",107
Psychiatry/Mental Health,Low self-esteem on poor mental health/psychological outcomes,"Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours",Baumeister et al.2003,https://journals.sagepub.com/doi/10.1111/1529-1006.01431,10.1111/1529-1006.01431,"review paper, n=total number of studies included in their review seems unclear - started with 15,000 sources but narrowed this down and the final number included doesn’t seem clear,","6484 (GS, February 2023)",
Psychiatry/Mental Health,Low self-esteem on poor mental health/psychological outcomes,"Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours","Keane,and Loades 2017",https://acamh.onlinelibrary.wiley.com/doi/10.1111/camh.12204,10.1111/camh.12204,"N = 10 studies were identified for this systematic review, citations=102, GS, February 2023).",,10
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both",Garb 1998,https://psycnet.apa.org/record/1998-07601-000,,"book, n=NA,","1059 (GS, April 2023)",
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both",Lilienfeld et al. 2006,https://www.semanticscholar.org/paper/Why-questionable-psychological-tests-remain-popular-Lilienfeld-Wood/fedcdcac7efcc42b25160004c5c07bf4174f51c6,,"n=NA,","36 (GS, April 2023)",
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both",Mihura et al. 2013,https://psycnet.apa.org/record/2012-23139-001,,"systematically reviewed the validity over 53 meta-analyses examining variables against externally assessed criteria (e.g., observer ratings, psychiatric diagnosis), k = 770, and 42 meta-analyses examining variables against introspectively assessed criteria (e.g., self-report), k = 386,","499 (GS, April 2023)",
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both",Wood et al. 2000,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-4679(200003)56:3%3C395::AID-JCLP15%3E3.0.CO;2-O,10.1002/(SICI)1097-4679(200003)56:3<395::AID-JCLP15>3.0.CO;2-O,"review paper, n=NA,","180 (GS, April 2023)",
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,Gutiérrez-Garcia and Tusell 1997,https://journals.sagepub.com/doi/abs/10.2466/pr0.1997.80.1.243,10.2466/pr0.1997.80.1.243,n=897 deaths by suicide,"64 (GS, January 2023)",897
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,"Kung, and Mrazek 2005",https://pubmed.ncbi.nlm.nih.gov/15703358/,,"n=1,826 nights (186 nights fit the definition of the full-moon effect),","15 (GS, January 2023)","1,826"
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,Kamat et al. 2014,https://journals.lww.com/pec-online/Abstract/2014/12000/Pediatric_Psychiatric_Emergency_Department_Visits.6.aspx,,"n=559,","17 (GS, January 2023)",559
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,Rotton and Kelly 1985,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0033-2909.97.2.286,,"Meta-analysis N≈781,000 across 37 studies,","262 (GS, January 2023)",
Psychiatry/Mental Health,Lack of a Theory of Mind in autistic people,Lack of a Theory of Mind is universal in autism**. All autistic people fail to understand that other people have a mind or that they themselves have a mind,Gernsbacher and Yergeau 2019,https://psycnet.apa.org/fulltext/2019-75285-001.html,,"Review, n=NA,","65 (GS, April 2022)",
Psychiatry/Mental Health,Childhood adversity and drug liking/enjoyment,Childhood adversity and drug-induced feeling good and drug liking**. Childhood adversity increases drug liking and feeling good,Carlyle et al. 2023,https://osf.io/9kt3a?view_only=4238d2ee3d654c4f908a94efea82a027,,"N = 151,","1 (GS, June, 2023)",151
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,Humphreys et al. 2020,https://pubmed.ncbi.nlm.nih.gov/32062423/#full-view-affiliation-1,,"meta-analysis, n=68.830 (192 samples),","265 (PubMed, June 2023)",68.830
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,Koppold et al. 2023,https://onlinelibrary.wiley.com/doi/full/10.1111/psyp.14253,10.1111/psyp.14253,"n = 685,","1 (PubMed, June 2023)",685
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,Li et al. 2015,https://www.cambridge.org/core/journals/psychological-medicine/article/maltreatment-in-childhood-substantially-increases-the-risk-of-adult-depression-and-anxiety-in-prospective-cohort-studies-systematic-review-metaanalysis-and-proportional-attributable-fractions/1901150B6CE79593FC1E03621913BAE3#,,"meta-analysis, n = 8 studies,",645 (GS. October 2023),8
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,Nanni et al. 2012,https://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.2011.11020335,10.1176/appi.ajp.2011.11020335,"meta-analysis, n=23.544 (","1496 (Psychiatry online, June 2023)",23.544
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,Nelson et al. 2018,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/childhood-maltreatment-and-characteristics-of-adult-depression-metaanalysis/47E046BE5B2D45B3F936C60297AAA71C,,"meta-analysis, n = 184 studies,","518 (Cambridge University Press & Assessment, June 2023)",184
Psychiatry/Mental Health,Lead and criminality,Excess risk for criminal behavior in adulthood exists when an individual is exposed to lead in utero or in the early years of childhood.​,Talayero et al. 2023,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0002177,10.1371/journal.pgph.0002177,"meta-analysis, k=17,","0 (GS, September 2023)",
Parapsychology,Precognition,Undergraduates improve memory test performance by studying after the test,Gelman and Loken 2013,http://www.stat.columbia.edu/~gelman/research/published/ForkingPaths.pdf,,"newspaper article, n=NA,","0 (GS, April 2023)",
Parapsychology,Precognition,Undergraduates improve memory test performance by studying after the test,Ritchie et al. 2012,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033423)3 replications: Replication 1: n = 50, Replication 2: n = 50; Replication 3: n = 50, total n=150, citations=235 (GS, December 2021)].  [Schimmack and Chen 2018](https://replicationindex.com/2017/09/04/the-power-of-the-pen-paradigm-a-replicability-analysis/","10.1371/journal.pone.0033423)3 replications: Replication 1: n = 50, Replication 2: n = 50; Replication 3: n = 50, total n=150, citations=235 (GS, December 2021)].  [Schimmack and Chen 2018](https:","blog, n=NA,","0 (GS, April 2023)",
Evolutionary Psychology,Fertility facial-preferences effect,Women prefer more masculine rather than feminised faces of potential partners during the fertile phase of their menstrual cycle. The preference for secondary sexual traits in male face shapes varies with the probability of conception,Harris 2011,https://link.springer.com/article/10.1007/s11199-010-9772-8#Sec9,10.1007/s11199-010-9772-8#Sec9,"n=853 (effect tested on 258 women),","14 (GS, June 2022)",853
Evolutionary Psychology,Dunbar’s number,The number of neocortical neurons limits the organism's information-processing capacity and this then limits the number of relationships that an individual can monitor simultaneously. Humans are cognitively or emotionally limited to 150 relationships with other people,Lindenfors et al. 2021,https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2021.0158,10.1098/rsbl.2021.0158,"different datasets with n= 71 to n =142,","23 (GS, December 2022)",71 & 142
Evolutionary Psychology,Romantic priming,"Looking at attractive women increases men’s conspicuous consumption, time discount and risk-taking",Shanks et al. 2015,https://kclpure.kcl.ac.uk/portal/files/48667352/Shanks_Priming_Mating_Motives_ms_FINAL_COMPLETE.pdf,,"n= show that the 43 previous studies have an unbelievably bad funnel plot, they also run 8 failed replications,","109 (GS, April 2023)",
Evolutionary Psychology,Implicit analytic priming,Implicitly priming analytic thinking by seeing a photo of Auguste Rodin's The Thinker decreases belief in God,Camerer et al. 2018,https://www.nature.com/articles/s41562-018-0399-z,,"n=224 and n=531,","871 (GS, December 2021)",224 & 531
Evolutionary Psychology,Implicit analytic priming,Implicitly priming analytic thinking by seeing a photo of Auguste Rodin's The Thinker decreases belief in God,Sanchez et al. 2017,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0172636,10.1371/journal.pone.0172636,"n=941,","59 (GS, December 2021)",941
Evolutionary Psychology,Menstrual cycle version of the dual-mating-strategy,"Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”",Gildersleeve et al. 2014,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fa0035438,,"meta-analysis, total sample of 134 effects from 38 published and 12 unpublished studies, n=5471,","491 (GS, April 2023)",5471
Evolutionary Psychology,Menstrual cycle version of the dual-mating-strategy,"Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”",Jones et al. 2018,https://www.sciencedirect.com/science/article/abs/pii/S1364661318302560?casa_token=lZSmZN6s8qMAAAAA:OjL-hHxaNOk45GZKXICNJeWF6IWV3tRz184ZnIiBjKbUB9nZCyMAsedc9A6beoTXt3LpwSfzm_w,,"review paper, n=NA, citations=111, GS, April 2023)].",,
Evolutionary Psychology,Menstrual cycle version of the dual-mating-strategy,"Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”",Wood et al. 2014,https://journals.sagepub.com/doi/abs/10.1177/1754073914523073?journalCode=emra,10.1177/1754073914523073?journalCode=emra,"meta-analysis, k=58,","277 (GS, April 2023)",
Evolutionary Psychology,Menstrual cycle and lunar influence,Women with a 29.5+/-1 day menstrual cycle tend to menstruate during a full moon,Komada et al. 2021,https://www.mdpi.com/1660-4601/18/6/3245/htm,,"n=3163,","3 (GS, March 2022)",3163
Evolutionary Psychology,Large parents have more sons,Bigger and taller parents have more sons,Denny 2007,https://www.econstor.eu/bitstream/10419/43340/1/557446228.pdf,,"(N= 8,249,","22 (GS, December 2022)","8,249"
Evolutionary Psychology,Men’s strength predicts opposition to egalitarianism,Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality,Gelman and Loken 2019,http://www.stat.columbia.edu/~gelman/research/unpublished/p_hacking.pdf,,"n = not reported,","726 (GS, May 2022)",
Evolutionary Psychology,Men’s strength predicts opposition to egalitarianism,Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality,Petersen and Laustsen 2019,https://onlinelibrary.wiley.com/doi/abs/10.1111/pops.12505,10.1111/pops.12505,"n = 12 different samples from multiple countries,","45 (GS, April 2023)",12
Evolutionary Psychology,Sex differences in mate preferences,"Men and women differ in preferences of a potential mate which reflects different evolutionary selection pressures. Across 33 countries (original study; 45 - replication) researchers found universal sex differences such as: men, more than women, prefer attractive, young mates, and  women, more than men, prefer older mates with financial prospects",Walter et al. 2021,https://journals.sagepub.com/doi/10.1177/0956797620904154,10.1177/0956797620904154,"n=14,399,","96 (GS, June 2022)","14,399"
Evolutionary Psychology,Men's preference for competition,"Men’s preference for competition**. Men are more likely to select tournaments than women, because women tend to avoid competition and men look for competition",Price 2020,http://www.accessecon.com/Pubs/EB/2020/Volume40/EB-20-V40-I2-P132.pdf,,"direct replication of Niederle & Vesterlund study n=60,","23 (GS, February2023)",60
Evolutionary Psychology,Orgasm gap,"Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​",Garcia et al. 2014,https://academic.oup.com/jsm/article-abstract/11/11/2645/6958368,,"n=2,850 single individuals,","134 (GS, May 2023)","2,850"
Evolutionary Psychology,Orgasm gap,"Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​",Mahar et al. 2020,https://link.springer.com/article/10.1007/s11930-020-00237-9,10.1007/s11930-020-00237-9,"systematic review, n=NA,","74 (GS, May 2023)",
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Vandello et al. 2008,https://psycnet.apa.org/record/2008-16429-006,,"n1a=201, n1b=141, n2=75, n3=62, n4=81, n5=134,","1040 (GS, July 2023)",
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Weaver et al. 2010,https://link.springer.com/article/10.1007/s11199-009-9713-6,10.1007/s11199-009-9713-6,"n1=172, n2=113,","128 (GS, July 2023)",
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Michniewicz et al. 2012,https://www.tessexperiments.org/study/Michniewicz038,,"n=816,","128 (GS, July 2023)",816
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Vandello & Bosson 2013,https://psycnet.apa.org/record/2012-24955-001,,"review paper, n=NA,","879 (GS, July 2023)",
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Frederick et al. 2017,https://www.sciencedirect.com/science/article/pii/S1740144516301620?casa_token=DV7u1LMnsd8AAAAA:JkTGomjKsEFlC2Ze78Cpc9GwL5-rM9N4C9mXqmgrRjAZbE25o_ebm4tDVERfd0FCZH19QywNWw,,"n1= 193, n2=450,","40 (GS, July 2023)",
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",Bosson et al. 2021,https://journals.sagepub.com/doi/abs/10.1177/0022022121997997,10.1177/0022022121997997,"n= 33,417 from 62 countries,","41 (GS, July 2023)","33,417"
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Thouzeau et al. 2023,https://www.sciencedirect.com/science/article/pii/S1090513823000326,,"meta-analysis, reviewing 87 studies with a total of 821 hypothesis tests, n (total) > 100,000,000, n (used for calculating sex ratio effect size) = 28,316,639,","2 (GS, August 2023)",
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Davis 1997,https://link.springer.com/article/10.1007/BF02912492,10.1007/BF02912492,"n = 13,495,","68 (GS, August 2023)","13,495"
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Marleau et al. 2000,https://journals.sagepub.com/doi/10.2466/pms.2000.91.2.697,10.2466/pms.2000.91.2.697,"n = 385,","9 (GS, August 2023)",385
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Elis & Bonin 2002,https://www.tandfonline.com/doi/abs/10.1080/19485565.2002.9989047,10.1080/19485565.2002.9989047,"n = 11,797,","27 (GS, August 2023)","11,797"
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Mathews et al. 2008,https://royalsocietypublishing.org/doi/10.1098/rspb.2008.0105,10.1098/rspb.2008.0105,"n = 740,","198 (GS, August 2023)",740
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters","Ruckstuhl et al., 2010",https://link.springer.com/article/10.1186/1471-2458-10-269,10.1186/1471-2458-10-269,"n = 16,384,","66 (GS, August 2023)","16,384"
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Grech 2019,https://www.cambridge.org/core/journals/journal-of-biosocial-science/article/maternal-educational-attainment-and-sex-ratio-at-birth-by-race-in-the-united-states-20072015/E94B12CDA26352472D28BF14877F8773,,"n = 28,268,183,","6 (GS, August 2023)","28,268,183"
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Kaňková et al. 2020,https://www.sciencedirect.com/science/article/pii/S0378378219305183?via%3Dihub,,"n = 5655,","6 (GS, August 2023)",5655
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard 2018,https://link.springer.com/article/10.1007/s10508-017-1007-4,10.1007/s10508-017-1007-4,"meta-analysis, reviewed 26 studies, n = 19,977,","112 (GS, August 2023)","19,977"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Vilsmeier et al. 2021,https://europepmc.org/article/ppr/ppr349701,,"preprint meta-analysis, reviewed 64 data samples n = 573,228,","9 (GS, August 2023)","573,228"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard and Skorska 2022,https://link.springer.com/article/10.1007/s10508-022-02362-z,10.1007/s10508-022-02362-z,for including unrepresentative but large,,
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Frisch and Hviid (2006),https://link.springer.com/article/10.1007/s10508-006-9062-2,10.1007/s10508-006-9062-2,"sample, subsequent re-analysis without this sample by Blanchard and Skorska 2022 revealed results consistent with older brother effect].",,
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Ablaza et al. 2022,https://www.tandfonline.com/doi/full/10.1080/00224499.2021.1974330?casa_token=xZ6aF_zZ6VUAAAAA%3A05EoPdYDKbX23zXb4jBYChTRpSBOKX13EM45lrPrr15htxM-u0KqK_kJ8QTdH4s8JifknDAIsIVo,10.1080/00224499.2021.1974330?casa_token=xZ6aF_zZ6VUAAAAA:05EoPdYDKbX23zXb4jBYChTRpSBOKX13EM45lrPrr15htxM-u0KqK_kJ8QTdH4s8JifknDAIsIVo,"n = 4,634,327,","17 (GS, August 2023)","4,634,327"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Apostolou 2020,https://link.springer.com/article/10.1007/s10508-019-01466-3,10.1007/s10508-019-01466-3,"n = 934,","18 (GS, August 2023)",934
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard and Zucker 1994,https://europepmc.org/article/med/8067496,,"n = 859,","75 (GS, August 2023)",859
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard et al. 1995,https://psycnet.apa.org/record/1995-17031-001,,"n = 312,","136 (GS, August 2023)",312
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard et al. 1998,https://www.cambridge.org/core/journals/journal-of-biosocial-science/article/abs/relation-of-birth-order-to-sexual-orientation-in-men-and-women/31B99DDC5BE81454D318706DAC3C0728,,"n = 610,","88 (GS, August 2023)",610
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Blanchard et al. 2006,https://www.sciencedirect.com/science/article/pii/S0018506X05002138?casa_token=ITBAamNRStYAAAAA:Rk7DDsXeNElm7OaWAOFWH4u2EcuVYtGRrHwGX8_HKF_zkY-NBlLPsm6vUFfEIP1RHXH8rier6Q,,"n = 3,146,","117 (GS, August 2023)","3,146"
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Bogaert 1998,https://link.springer.com/article/10.1023/A:1018752513198,10.1023/A:1018752513198,"n = 823,","45 (GS, August 2023)",823
