Discipline,Effect,Description,Original effect size
Neuroscience (humans,Structural brain-behaviour correlations - the association between behavioural activation and white matter integrity,Individual differences in the sensitivity to signals of reward as indexed by BAS-Total and in the tendency to seek out potentially rewarding experiences as measured by BAS-Fun are positively correlated with diffusion measures of several white matter pathways,"BAS-Total correlation with parallel diffusivity in the left corona radiata (CR)/superior longitudinal fasciculus (SLF): r = .51; BAS-Fun correlation with: fractional anisotropy in the left CR/SLF: r = .52, parallel diffusivity in the left CR/SLF: r = .58, mean diffusivity in the left SLF/inferior fronto-occipital fasciculus (IFOF): r = .51."
Neuroscience (humans,Structural brain-behaviour correlations - the association between social network size and grey matter volume,"Structural brain behaviour correlations** - **The association between social network size and grey matter volume**. Individual differences in the number of Facebook friends (FBN) are positively correlated with grey matter volume in several brain areas: left middle temporal gyrus (MTG), right superior temporal sulcus (STS), rich entorhinal cortex (EC), left and right amygdala","left MTG: r =.35; right STS: r = .35; right EC: r = .35, left amygdala: r = .30; right amygdala: r = .32."
Neuroscience (humans,Structural brain-behaviour correlations - the association between distractibility and grey matter volume,Variability in self-reported distractibility is positively correlated with grey matter volume in the left superior parietal lobule (SPL) and negatively correlated with grey matter volume in medial pre-frontal cortex (mPFC,left SPL: r =.38; mPFC: r = -.28.
Neuroscience (humans,Structural brain-behaviour correlations - the association between attention and cortical thickness,"Individual differences in executive control are negatively correlated with cortical thickness in left anterior cingulate cortex (ACC), left superior temporal gyrus (STG), and right middle temporal gyrus (MTG), whereas variation in alerting scores is negatively correlated with cortical thickness in the left superior parietal lobule (SPL",Executive control scores and cortical thickness in left ACC: r = -.21; left STG: r = -.15; right MTG: r = -.13; Alerting scores and cortical thickness in left SPL: r = -.26.
Neuroscience (humans,Structural brain-behaviour correlations - the association between control over speed/accuracy of perceptual decisions and white matter tracts strength,Individual differences in control over speed and accuracy of perceptual decisions are positively correlated with the strength of white matter tracts between the right presupplementary motor area (pre-SMA) and the right striatum,r = .93.
Neuroscience (humans,Structural brain-behaviour associations: the association between executive function and grey matter volume,Grey matter volume in the rostral dorsal premotor cortex is associated with individual differences in executive function as measured by the trail making test,r = 0.26.
Neuroscience (humans,Fear conditioning - Amygdala,"Animal research suggests that fear conditioning activates the amygdala ([LeDoux, 1993](https://doi.org/10.1111/j.1749-6632.1993.tb17246.x)), which has been replicated in some (but not all) human fMRI fear conditioning studies",NA.
Neuroscience (humans,Fear conditioning - vmPFC,"Animal research suggests that fear extinction activates the vmPFC ([Morgan et al., 1993](https://doi.org/10.1016/0304-3940(93)90241-C)); based on these findings from animal research, some (but not all) human fMRI fear conditioning/extinction studies found that the vmPFC becomes activated during fear extinction recall",NA.
Neuroscience (humans,Fear conditioning - Theta Oscillations,"Fear conditioning - Theta oscillations**. Animal research suggests that fear conditioning evokes prefrontal theta activity, which can be measured with EEG in humans",NA.
Neuroscience (humans,Fear conditioning - Late Positive Potential (LPP),"Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG",NA.
Neuroscience (humans,Fear conditioning - Bradycardia / heart rate modulation,Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia,ES=NA.
Neuroscience (humans,Bouba/kiki effect,"sound symbolism). When presented with sounds (e.g., the words “bouba” and “kiki”) and visual objects (e.g., a curvy shape and a spiky shape), humans make non-arbitrary mappings between sounds and objects (e.g., the curvy shape is consistently called “bouba”",NA.
Neuroscience (humans,Human freezing like behaviour (postural sway) in threat processing,"Human freezing behaviour **(postural sway). A physiological response that occurs in response to a perceived threat. Overall, freezing-like behaviour has been replicated in multiple studies across different species and contexts, and is considered a robust and reliable measure of fear and anxiety",ηp2= .12-.19.
Neuroscience (humans,Glucose amplification of cortisol stress reactivity,"After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST",NA.
Neuroscience (humans,Resting-state functional connectivity patterns can accurately classify individuals diagnosed with depression,Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression,62.5% - 95% Classification Accuracy (cross-validation; CV); 16.7–83.3% (Hold-out validation).
Neuroscience (humans,Mozart effect on epilepsy,Listening to Mozart’s sonata KV448 can reduce or prevent epileptic seizures.​,"ES not reported, but effects of Mozart music were found in 23 of 29 instances (79%)."
Neuroscience (humans,Effect of Alzheimer's disease on financial capacity performance in older adults,Effect of Alzheimer’s disease on financial capacity performance in older adults**. The influence of neurodegeneration as presented in patients with a diagnosis of Alzheimer’s disease on financial capacity tasks.​,not reported. 
Neuroscience (humans,Effect of Parkinson's disease on financial capacity performance in older adults,Effect of Parkinson’s disease on financial capacity performance in older adults.** The influence of neurodegeneration as presented in patients with a diagnosis of Parkinson’s disease on financial capacity tasks,The Parkinson’s Disease with dementia (PDD) group performed significantly below control and Parkinson’s Disease with Mild Cognitive Impairment (PD-MCI) groups on FCI total scores (p =.008) without mentioning effect size.
Neuroscience (humans,Effect of Mild Cognitive Impairment on financial capacity performance in older adults,Effect of Mild Cognitive Impairment (MCI) on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of Mild Cognitive Impairment on financial capacity tasks,"not reported, but Mild Cognitive Impairment and mild Alzheimer’s Disease related to significantly lower scores on Financial Capacity Instrument."
Neuroscience (humans,Effect of frontotemporal dementia on financial capacity performance in older adults,The influence of neurodegeneration as presented in patients with a diagnosis of frontotemporal dementia on financial capacity tasks,"The phenocopy or possible behavioural variant of frontotemporal dementia (pheno-/poss-bvFTD) group scored poorly compared to healthy controls on the FCAI Total score, ps &lt; 0.05 without mentioning effect size."
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI),Fear Conditioning - Association of cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI)** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of the mOFC and the extinction retention index in fear conditioning paradigms.​,r = .52 to r = .82 (extinction retention in SCR).
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training,Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​,r = .57 to r = .70 (SCRs). 
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,r = .29 to r = .33 (SCRs). 
Psychiatry/Mental Health,Low self-esteem on poor mental health/psychological outcomes,"Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours",NA.
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both",NA.
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,Effects on criminal offences – (Cohen’s) h=.03 (reported in[ Rotton and Kelly 1985](https://psycnet.apa.org/doiLanding?doi=10.1037%2F0033-2909.97.2.286)); Suicide and Self-harm: ES not reported; Psychiatric admissions: ES not reported (but study found disproportionate number of episodes during full moon).
Psychiatry/Mental Health,Lack of a Theory of Mind in autistic people,Lack of a Theory of Mind is universal in autism**. All autistic people fail to understand that other people have a mind or that they themselves have a mind,d = −1.714.
Psychiatry/Mental Health,Childhood adversity and drug liking/enjoyment,Childhood adversity and drug-induced feeling good and drug liking**. Childhood adversity increases drug liking and feeling good,mean difference between trauma and control groups post-drug: liking=14.67 to 20.97 and feeling good=13.69 to 17.99.
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,"OR=3.38 [1.74, 6.60] to OR=4.5 ​[1.95, 10.51]. "
Psychiatry/Mental Health,Lead and criminality,Excess risk for criminal behavior in adulthood exists when an individual is exposed to lead in utero or in the early years of childhood.​,Aggressive/anti-social behavior blood-lead increase log OR = 1.08 (reported in Talayero et al. 2023). 
Parapsychology,Precognition,Undergraduates improve memory test performance by studying after the test,"Study 1: d = 0.25; Study 2: d = 0.20; Study 3: d = 0.26; Study 4: d = 0.23; Study 5: d = 0.22; Study 6: negative trials: d = 0.15, erotic trials = d = 0. 14; Study 7: d = 0.09; Study 8: d = 0.19; Study 9: d = 0.42; mean effect size d= 0.22. "
Evolutionary Psychology,Fertility facial-preferences effect,Women prefer more masculine rather than feminised faces of potential partners during the fertile phase of their menstrual cycle. The preference for secondary sexual traits in male face shapes varies with the probability of conception,not reported; ηp2 = 0.20 (Japanese sample) and ηp2 = 0.04 (British sample) [calculated for main effect of conception risk using [Lakens 2018](https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00863/full)].
Evolutionary Psychology,Dunbar’s number,The number of neocortical neurons limits the organism's information-processing capacity and this then limits the number of relationships that an individual can monitor simultaneously. Humans are cognitively or emotionally limited to 150 relationships with other people,"neocortex ratio and mean group size r2 =0.764  [translates to ≈150 members of the expected human group size, reported in[ Lindenfors et al.](https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2021.0158)]."
Evolutionary Psychology,Romantic priming,"Looking at attractive women increases men’s conspicuous consumption, time discount and risk-taking","d=0.55 [-0.04, 1.13] for the difference between men and women; meta-analytic d= 0.57 [0.49, 0.65]."
Evolutionary Psychology,Implicit analytic priming,Implicitly priming analytic thinking by seeing a photo of Auguste Rodin's The Thinker decreases belief in God,d=-0.25 to d=0.12.
Evolutionary Psychology,Menstrual cycle version of the dual-mating-strategy,"Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”","the greater the fertility risk of a woman, the greater her preference for scent associated with male symmetry, r =0.54."
Evolutionary Psychology,Menstrual cycle and lunar influence,Women with a 29.5+/-1 day menstrual cycle tend to menstruate during a full moon,"not reported, two plots showed significant difference from uniform distribution, suggesting that the menstrual phase coincided more often with the full moon."
Evolutionary Psychology,Large parents have more sons,Bigger and taller parents have more sons,effects of weight on number of boys b = 0.0183 and number of female foetuses b = -0 .0154; effects of height on number of girls b = -0.0152 and number of male foetuses b = 0.0182. 
Evolutionary Psychology,Men’s strength predicts opposition to egalitarianism,Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality,not reported. 
Evolutionary Psychology,Sex differences in mate preferences,"Men and women differ in preferences of a potential mate which reflects different evolutionary selection pressures. Across 33 countries (original study; 45 - replication) researchers found universal sex differences such as: men, more than women, prefer attractive, young mates, and  women, more than men, prefer older mates with financial prospects",N/A. The author provided only country-level t-tests separately for each characteristic.
Evolutionary Psychology,Men's preference for competition,"Men’s preference for competition**. Men are more likely to select tournaments than women, because women tend to avoid competition and men look for competition",Man more likely to select tournaments then women – probit regression coefficients in various regression models -.38 to -.16.
Evolutionary Psychology,Orgasm gap,"Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​","The orgasm gap was 52 percent: 39 percent of women, compared to 91 percent of men, usually or always experienced orgasm in partnered sex; d= -1.26 [-1.44, -1.07] (estimated from the data in Table 6 and using this[ conversion](https://www.campbellcollaboration.org/escalc/html/EffectSizeCalculator-SMD20.php))."
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",NA.
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters","Trivers and Willard: r = NA. Bereczkei and Dunbar: Experiment 1 - r = 0.17 [0.11, 0.24], Experiment 4 - r = 0.12 [0.02, 0.23] (as reported in Thouzeau, et al. 2023, Fig. S3)."
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons","OR = 1.50 [1.20, 1.87] (reported in Blanchard 2018), odds ratio here is computed as (homosexuals’ older brothers ÷ homosexuals’ other siblings) ÷ (heterosexuals’ older brothers ÷ heterosexuals’ other siblings), where other siblings = older sisters + younger brothers + younger sisters. Values over 1.00 are positive evidence for the older brother effect."
Psychophysiology,Sympathetic nervous system activity predicts political ideology,There are psychophysiological correlates of political ideology – conservatives react with higher levels of electrodermal activity (EDA)/ skin conductance to threatening stimuli than liberals,Effects of physiological reactions on support for socially protective policies β = 0.377.
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,"N/A (unreported by Caspi; however, an OR for Caspi’s data was calculated by [Risch et al. 2009](https://jamanetwork.com/journals/jama/article-abstract/184107) and displayed in Figure 2C approximately 1.3). "
Applied Linguistics,Critical period hypothesis,"Critical period** **hypothesis**. How grammar-learning ability changes with age, finding that it is intact to the crux of adulthood (17.4 years) and then declines steadily",NA.
Applied Linguistics,Motivational role of L2 vision,Mental imagery of oneself as a successful language user in the future can enhance one’s motivation and performance,η2 =0.08.
Educational Psychology,Flipped learning,students learn better if they do homework about a lesson before coming to class to study that lesson,"NA, theoretical paper/book (although report a descriptive data that the flipped class model helped students with lower maths skills perform at a similar level as a group with higher maths skills in a mathematically heavy science class)."
Educational Psychology,Mindsets,"People’s beliefs about whether their talents and abilities are subject to growth and improvement. In recent years, mindset proponents have argued that interventions work but only for low SES populations or low-performing students","(between growth mindset and achievement) β=.10-.70, r=.12-.20.  "
Educational Psychology,First instinct fallacy,"the false belief that one’s initial thoughts/ideas/answers are right and closer to the truth than revised thoughts/ideas/answers. Surveys have shown that students generally believe that changing answers on a multiple-choice test lowers test scores, but research seems to show that most people who change their answers usually improve their test scores","Study 1 (that answer changes from wrong to right outnumber changes from right to wrong, changing benefits; not provided in paper, [calculated here](https://docs.google.com/document/d/1JNLLKBldi2wvc-Yej1N4HBeibdop5SuycgOjl6Cts9I/edit?usp=sharing)): Comparing changes from right to wrong and wrong to right: d ≈ 0.25, Comparing changes from right to wrong and wrong to wrong: d ≈ 0.64; Study 3 (analysing discrepancy between actual outcomes and participants' memory of those outcomes): Consequences of switching vs. sticking: η² = .22, Memory consequences: η² = .31."
Educational Psychology,Mirror reading and writing in dyslexia,"Strephosymbolia). Strephosymbolia is a term coined to describe a learning disorder in which symbols and especially phrases, words, or letters appear to be reversed or transposed in reading. The incidence of strephosymbolia seems to be widely documented.​",NA.
Educational Psychology,Pen mightier than the screen,Learning for conceptual-application questions is more effective when taking longhand notes than with a laptop,"Participants perform better on conceptual application questions when taking longhand notes compared to using a laptop, d  = .38, p = .046 [calculated]. Experiment 2, Conceptual application questions, d = .41 [calculated]. Experiment 3 assessed the interaction between note-taking medium (longhand vs. laptop) and studying: among students who had the opportunity to study, longhand note takers did significantly better than laptop note takers, p = .024, d = 0.64 on conceptual questions. Non-significant effects are reported for factual recall and therefore not reported here."
Educational Psychology,Sleep-assisted learning,hypnopedia). Memorising new information while sleeping,"ES not reported, but 40% of boys broke their fingernail-biting habit after listening to ""My fingernails taste terribly bitter” message during 54 nights, as compared to 0% in two control  groups.."
Educational Psychology,Dr. Fox effect,"Dr. Fox Effect. **Students rate educators higher based on qualities beyond the educational content itself (e.g., charisma, enthusiasm, entertainment","ES = Not able to estimate. However, people placed greater weight on the presentation style than the content. "
Educational Psychology,Cooperative learning,"peer learning, collaborative learning). The idea that learners that work together in cooperative groups under positive interdependence reach better learning outcomes compared to students working individually (no interdependence) or competitively (negative interdependence).​","Treatment-by-time interaction effects on divergent solutions test η²=.05, the content-relevant computations subtest η²=.04, and computations subtest η²=.04."
Health Psychology,Stress as the main/sole cause of peptide ulcers,"Stress as the main/sole cause of peptic ulcers**. Stress was the main cause of peptic ulcers (with secondary contributing factors thought to be excess stomach acid, spicy food",ES not reported but the studies suggested that chronic emotional and physical stress is transmitted to the stomach by a hormonal mechanism mediated through the adrenal gland and may induce gastrointestinal ulceration through the hypothalamic-pituitary-gastric pathway.
Health Psychology,Graphic images and cigarette use,Graphic warning labels). Introducing graphic warning labels (GWL) on cigarette packages reduces smoking prevalence.​,estimates of graphic warning labels (GWL) effects are statistically significant in all regression models and range from β=−0.13 to β=−0.22 corresponding to reduced smoking prevalence between 12.1% and 19.6%.
Health Psychology,Social isolation – all-cause mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people, is related with higher risk of mortality from all causes","Hazard Rate (HR)=1.40 [0.80, 2.30] to 1.50 [1.00, 2.20] (reported in Wang et al. 2023). "
Health Psychology,Social isolation – cardiovascular disease mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cardiovascular diseases.​","Hazard Rate (HR)=1.72 [0.77, 3.84] to 1.80 [0.87, 3.72] (reported in Wang et al. 2023)."
Health Psychology,Social isolation – cancer mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cancer.​","Hazard Rate (HR)=3.60 [0.99, 13.01] (reported in Wang et al. 2023)."
Health Psychology,Loneliness – all-cause mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from all causes","Hazard Rate (HR)=1.02 [0.75, 1.40] to 1.17 [0.79, 1.74] (reported in Wang et al. 2023)."
Health Psychology,Loneliness – cardiovascular disease mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cardiovascular diseases","HR=1.09 [0.79, 1.49] to 1.70 [1.03, 2.81]."
Health Psychology,Loneliness – cancer mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cancer.​","Hazard Rate (HR)=1.09 [0.99, 1.20] (reported in Wang et al. 2023)."
Health Psychology,Self-inflicted pain out of boredom,"Boredom is an important impetus for self-injury,  Participants could administer electric shocks in a boring, sad or neutral condition",ηp2 = 0.41.
Political Psychology,Stereotype threat on gender differences in political knowledge,Making gender stereotypes about political knowledge salient decreases womens’ performance on political knowledge tests,Study 1: partial η2 =0.12; Study 2: partial η2 =0.03 ​
Political Psychology,Avoidance of dissonance-arousing situations,Ideological asymmetry in dissonance avoidance)**. **There are differences in how liberals and conservatives respond to dissonance-arousing situations – conservatives are more strongly motivated to avoid dissonance-arousing tasks than liberals.​​,"Study 1 – Bush vs. Obama preference effects on compliance with the dissonance-arousing, politically relevant task in high choice situation b = -2.36​; effect of political orientation on likelihood of compliance with the instruction to write a counter-attitudinal political essay under the circumstance of high perceived choice b = -.31; Study 2 - Regan vs. Clinton preference effects on compliance with the dissonance-arousing, politically relevant task in high choice situation b = -1.36​; effect of political orientation on likelihood of compliance with the instruction to write a counter-attitudinal political essay under the circumstance of high perceived choice b = -.01 (non-significant)."
Political Psychology,Depressed-entitlement effect among women,"In the absence of clear-cut standards of comparison, women reward/pay themselves significantly less money than do men for the same amount of work",main effects of sex on rewards taking ηp2 = 0.22 / d = 0.53 [ηp2 calculated from F statistic values and Table 1 data and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Political Psychology,Gender effects of political candidates,Voters evaluate political candidates based on their gender or sex,"When holding age and race constant, the study found that voters don't have a significant preference for either men or women. (-0.8 pp for women, SE: 6.6)."
Political Psychology,Race/ethnicity effects of political candidates,Voters evaluate political candidates based on their race or ethnicity,Light-skinned black candidates were rated 0.7 points lower on an 11 point scale than white candidates (p&lt;0.05). Dark-skinned black candidates were rated 0.6 points lower  than white candidates (p&lt;0.05). 
Political Psychology,The democratic peace,Citizens of democratic states are significantly more likely to approve of war against non-democratic states than war against other democracies.​,"First experiment: -1.73 approval (on a scale from 0 to 10) to use force against democracies (p&lt;0.05), compared to autocracies; Second experiment: -3.06 approval (p&lt;0.01); Third experiment: -2.68 approval (p&lt;0.01)."
Political Psychology,Moral foundations across the political spectrum,"Moral Foundations Theory is a framework that claims that humans have five innate and universal moral values: Care, Fairness, Loyalty, Authority, and Purity. While extremely influential, it has failed to replicate, with studies critiquing its factor structure (Harper and Rhodes 2020) and universality (Davis et. al. 2016) .​","Study 1 - 𝛽 = 0.16-0.34​. Average 𝛽 = 0.25; Study 2 - 𝛽 = 0.16-0.52; Study 3 - 𝛽 = 0.14 (for the difference in average willingness to violate Harm foundation between liberals and conservatives), 𝛽 = 0.58-0.91 (for the difference in average willingness to violate the three binding foundations between liberals and conservatives), 𝛽 = 0.36 (for the difference in aggregated moral sacredness ratings between individualising and binding foundations), 𝛽 = 0.18 (for the moderation of the above effect by politics), 𝛽 = 0.43 (for the difference in average willingness to violate the foundations between libertarians and conservatives), 𝛽 = 0.09 (for the difference in average willingness to violate the foundations between libertarians and liberals); Study 4 - 𝛽 = 0.56 (for Harm foundation), 𝛽 = 0.65 (for Fairness foundation), 𝛽 = 1.27 (for Ingroup foundation), 𝛽 = 0.81 (for Authority foundation), 𝛽 = 0.99 (for Purity foundation)."
Political Psychology,Backfire,Being confronted with corrections of previously held political misconceptions can lead to an even increased alignment with those misperceptions,b = .198 to b = 0.359​.
Political Psychology,Conspiracy mentality and political extremism,"Refers to a positive relationship between** **the general tendency to endorse conspiracy theories (i.e., conspiracy mentality) and the political ideologies at either side of the political spectrum (i.e., extreme political ideologies","Study 1 (n=207 US citizens, β = .58, p = .04); Study 2a (n=1010 Dutch citizens, β = .35, p = .005); Study 2b (n=1297 Dutch sample,  β = .53, p &lt; .001); and Study 3 (n= 268 Dutch sample, β = 0.70, p = 0.01), all evidenced quadratic relationship between political ideology and conspiracy beliefs."
Political Psychology,"Voters ""elect"" rather than ""affect"" policies","Voters elect rather than affect policies.** Elected politicians do not change their policies (measured through roll call votes) in response to changes in the median voters policy preferences. This means that voters merely elect politicians with policies that they support, but that they do not affect these politicians policies afterward","“Elect” Component: 22.84 (SE: 2.2); “Affect” Component: -1.64 (SE: 2.0). I.e., The “Elect” component is statistically significant from zero, but the “Affect” component is not."
Political Psychology,Personality correlates of sociopolitical attitudes,Liberals tend to socially conform whereas conservatives are more willing to violate established societal conventions,"correlations between General ideology (higher scores –more liberal) and Psychoticism (r = -.495), Extraversion (r =-.061), Neuroticism (r =-.008) and Social desirability (r =.261) among men and among women (r =-.566, r =-.177, r =.001, r =.357, respectively) (all significant at .01 or better)."
Political Psychology,Attractive politician effect,Voters tend to vote more for physically attractive candidates and politicians,The correlation between physical attractiveness and the proportion of the vote obtained within the candidate's riding r = 0.40.
Political Psychology,Working-class authoritarianism,The lower (or working) classes are more likely to possess authoritarian tendencies and to favour the ideology of anti-democratic movements in comparison with their middle and higher class counterparts,NA.
Political Psychology,Political Tolerance Asymmetry,"Asymmetry Hypothesis of Tolerance). Political tolerance and intolerance differ in their underlying psychology, making it easier to persuade the tolerant to become less tolerant than to convince the intolerant to become more tolerant.​","ES not reported, but 37 percent of those who were initially tolerant failed to change their views across the three counter-arguments, while 62 percent of those initially intolerant did not change."
Political Psychology,Cognitive ability of the right-wing – conservatism,Cognitive ability of the right-wing - conservatism**. Lower cognitive ability is associated with stronger endorsement of conservative attitudes.​,"r = -0.16 (correlation of politico-economic conservatism, PEC, scale and IQ)."
Political Psychology,Cognitive ability of the right-wing – authoritarianism,Cognitive ability of the right-wing - authoritarianism**. Lower cognitive ability is associated with higher authoritarianism.​,correlations of F scale scores with AGCT r = -0.20 and with Stanford-Bine r = -0.48.
Political Psychology,Cognitive ability of the right-wing – dogmatism,Cognitive ability of the right-wing - dogmatism**. Lower cognitive ability is associated with higher dogmatism.​,NA.
Political Psychology,Cognitive ability of the right-wing – ethnocentrism,Cognitive ability of the right-wing - ethnocentrism**. Lower cognitive ability is associated with higher ethnocentrism.​,r = -0.02 to r = -0.48.
Political Psychology,Rigidity-of-the-right hypothesis – general conservatism,"Rigidity-of-the-right hypothesis**. Conservative political ideology is congenial to people who are cognitively, motivationally, and ideologically rigid.​","not reported, but interview data revealed that ideologically extreme persons were more rigid and less tolerant of ambiguity."
Political Psychology,Rigidity-of-the-right hypothesis – economic conservatism,"Rigidity-of-the-right hypothesis**. Economic conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​","not reported, but interview data revealed that ideologically extreme persons were more rigid and less tolerant of ambiguity."
Political Psychology,Rigidity-of-the-right hypothesis – social conservatism,"Rigidity-of-the-right hypothesis**. Social conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​","not reported, but interview data revealed that ideologically extreme persons were more rigid and less tolerant of ambiguity."
Political Psychology,Motivated numeracy,People with higher numeracy are less accurate in evaluating contingency tables when the outcome is aligned with their politics,ES not reported (no stats).
Political Psychology,Conscientious conservatives fake news sharing,Personality moderates the relationship between political ideology and the sharing of misinformation; conscientious conservatives share less fake news.​,"The interaction between political ideology and conscientiousness statistically significant and negative (with the inclusion of control variables) b = –.191 (Study 1), b = –.158 (Study 2), b = –.114 (Study 3), b = –.162 (Study 4), b = –.136 (on desire for chaos) (Study 5), b =–.107 (Study 6)"
Comparative Psychology,Gaze following in monkeys,"Monkeys fail to follow the gaze of another agent, using the object choice task.  ​",NA.
Comparative Psychology,Pointing following in monkeys,"Monkeys fail to follow the point of another agent, using the object choice task.  ​",not reported. 
Comparative Psychology,Gaze following in nonhuman primates,"Nonhuman primates fail to follow the gaze of another agent, using the object choice task.  ​",not reported. 
Comparative Psychology,Pointing following in nonhuman primates,"Nonhuman primates fail to follow the point of another agent, using the object choice task.  ​",NA.
Comparative Psychology,Gaze following in domesticated dogs,"Dogs follow the gaze of another agent, using the object choice task.  ​",NA.
Comparative Psychology,Pointing following in domesticated dogs,"Dogs follow the point of another agent, using the object choice task.  ​",NA.
Comparative Psychology,Pointing following in coyotes,"Coyotes do not follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Gaze following in wolves,"Wolves do not follow the gaze of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in wolves,"wolves do not follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in Asian elephants,"Asian elephants do not follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in African elephants,"African elephants follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Gaze following in horses,"Horses do not follow the gaze of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in horses,"Horses follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Gaze following in domesticated pigs,"Domesticated pigs do not follow the gaze of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in domesticated pigs,"Pointing following in pigs**. Domesticated pigs do not follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Pointing following in goats,"Goats follow the pointing of a human agent, using the object choice task",not reported.
Comparative Psychology,Gaze following in goats,"Goats do not follow the gaze of a human agent, using the object choice task",not reported. 
