Discipline,Effect,Description,Replication effect size
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness,"Johnson et al.: Cohen’s  _d_ = 0.04 (Study 1 -  comparison to control group), Cohen’s  _d_ = 0.05 (Study 2 -  comparison to control group). All effect sizes are located in Ghelfi et al. 2016: comparison to sweet group: Christopherson: Hedges _g_ = 0.53.  Christopherson: Hedges’ _g_ = 0.04. Fischer: Hedges’ _g_ = 0.25. Guberman: Hedges’ _g_ = -0.30. de Haan: Hedges’ _g_ = -0.13. Legate: Hedges’ _g_ = 0.99. Legate: Hedges’ _g _= -0.02. Lenne: Hedges’ _g_ = -0.19. Urry: Hedges’ _g_ =  -0.13. Wagemans: Hedges’ _g_ = 0.03. Weber: Hedges’ _g_ = -0.27.  Meta-analytic estimate: Hedges’ _g_ =  -0.05. Comparison to control group:  Christopherson: Hedges _g_ = 0.68. Christopherson: Hedges’ _g_ = -0.19. Fischer: Hedges’ _g_ = -0.01. Guberman: Hedges’ _g_ = -0.12. de Haan: Hedges’ _g_ = -0.24. Legate: Hedges’ _g_ = 0.79. Legate: Hedges’ _g _= 0.37. Lenne: Hedges’ _g_ = -0.13. Urry: Hedges’ _g_ =  0.08. Wagemans: Hedges’ _g_ = -0.11. Weber: Hedges’ _g_ = -0.04. Meta-analytic estimate: Hedges’ _g_ =  0.10."
Social Psychology,Macbeth effect,Moral aspersions induce literal physical hygiene,"Siev et al.:  _g_ = 0.17 [0.04 – 0.31]. All effect sizes are located in Siev et al. 2018: Earp et al.: Study 1: _g_ = 0.02 [-0.30 0.34], Study 2: _g_= 0.05 [-0.27, 0.37], Study 3: _g_ = 0.13 [-0.11, 0.37]. Fayard et al.: Study 1: _g_ = 0.11[-0.20 0.43]. Gamez et al.: Study 1: _g_ = 0.02 [-0.54 0.56], Study 2: _g_= -0.01 [-0.64, 0.63], Study 3: _g_ = 0.55 [-0.26, 1.37]. Lee and Schwarz: Study 2: _g_ = 0.22 [-0.20 0.64]. Schaefer: Study 2: _g_ = 0.71 [0.18, 1.23]. Siev et al. (unpublished): Study 1: _g_ = -0.06 [-0.27 0.15], Study 2: _g_= -0.18 [-0.56, 0.20]. Zhong (unpublished): Study 2: _g_ = 0.28. \"
Social Psychology,Signing at the beginning rather than end makes ethics salient,Signing a statement of honest intent before providing information rather than after can reduce dishonesty,NA.
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears","Gittell and Tebaldi: correlation between income and volunteer rate (-.13), regression coefficients for personal income (769.1) and education (29.35) on average charitable contribution per tax filer. Piff et al.: Experiment 1 - subjective SES on dictator game resource allocation: _β_ = -.23; Experiment 2 - self-reported family income: _β_ = -.27 and manipulated social class: _β_ = -.23 on attitudes toward charitable giving; Experiment 3 - combined education and income on trust game with arbitrary points: _r_ = -.18; Experiment 4 - combined past and current income on ambiguous task helping: _β_ = -.43. Guinote et al.: Experiment 1 - manipulated department rank on picking up pens for experimenter: _d_ = 1.16; Experiment 4 - random winner on sticker donation T1: _calculated d _= 0.657_, _losing status: _ηp2_ = 0.34, gaining status: _ηp2_ = 0.38, NS differences at T2. Chen et al.: family income on sticker allocation in dictator game: Spearman's _ρ_ = -.10; parents education/migrant status: NS. Korndörfer et al.: Experiment 1 – household objective social class for each household on self-reported donation behavior for the previous year: OR = 2.07, NS quadratic term, on relative amount of donation, both standardized score: _b _= .158 and its quadratic term, _b _= .073; Experiment2 – household objective social class on self-reported donation behavior for the previous year: OR = 1.99, NS quadratic term, on relative amount of donation, standardized score: _b _= .078, NS quadratic term; Experiment 3 - Model 1, objective social class for each person on self-reported donation behavior for the previous year: OR = 2.54, NS quadratic term and frequency: _b _= .392, quadratic term: _b _= -.064; Model 2, four-category subjective social class for each person on self-reported donation behavior for the previous year: OR = 1.61, quadratic term: OR = 0.90 and frequency: _b _= .230, quadratic term: _b _= -.039; Experiment 4 - objective social class for each person on self-reported volunteering: OR = 2.03, quadratic term: OR = 0.91 and frequency: _b _= .336, quadratic term: _b _= -0.48; Experiment 5 - same models as Experiment3 but with a volunteering outcome: Model 1: OR = 1.64, NS quadratic term and frequency: _b _= .248, NS quadratic term: Model 2, OR = 1.29, NS quadratic term: and frequency: _b _= .135, NS quadratic term; Experiment 6 - Model 1, objective social class for each person on past 12 month volunteering: OR = 1.18, quadratic term: OR = 0.97 and frequency: _b _= 0.94, quadratic term: _b _= -.012; Model 2, six-category subjective social class on volunteering: OR = 1.15, NS quadratic term and frequency: _b _= 0.76, NS quadratic term; Experiment7 - same models as Experiments 3 and 5 but with a single everyday helping outcome: Model 1, _b _= .397, NS quadratic term; Model 2: NS _ _and NS quadratic term; Experiment8 - objective social class for each person on behavior in a trust game, player 1: _b _= .468, player 2: _b _= .421. Stamos et al.: _d_ = .36 (manipulated subjective SES), opposite direction: _r_ = -.02 (family income). "
Social Psychology,Stanford Prison Experiment,"employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour","N/A. First, the study has been criticised for the lack of adherence to the experimental methodology. Although the study has been widely described as an ‘experiment’ it lacks many defining features: 1) it does not define the precise set of manipulated variables, 2) it manipulates multiple variables at time without the proper control over the effects of each one, 3) it does not define the dependent variable and how it will be measured, 4) it does not state any clear hypotheses. It is noteworthy that in the original paper, authors present their work as a “demonstration” not an experiment. Second group of serious issues is the degree of researchers’ ad-hoc interventions that were influencing the behaviour of the participants. One of the leading researchers, Philip F. Zimbardo took part in the experimental procedure as the prisons’ “Superintendent”. Another close collaborator of the research team David Jaffe, who initially conceived the idea of the mock-prison study, was playing the role of the “Warden”. Considering that these people knew the goal of the study and were, as later admitted,  interested in the particular outcome (a call for reform of the prison system), the ad-hoc intervention, such as encouraging some of the guards to be more strict and ‘tough’, cast a reasonable doubt on the role of experimentator' expectations on the final results of the study. The third group of issues is sampling. Namely, the study has been conducted on a small (n=24, n per condition = 12) and largely unrepresentative sample (all males, all college students of similar age, all residents of the United States). Also, despite the screening procedures of the voluntarily applying candidates, it is still possible that a strong ‘demand characteristic’ and ‘self-selection bias’ may have affected the composition of the sample. All the participants have responded to the newspaper ad about wanting help in  “psychological study of prison life”. The last issue with the Stanford Prison Experiment is the interpretation of the results. Even if the discovered effect is trustworthy (and above mentioned issues put this into questions), there is no clear theoretical interpretation of what this finding actually proves. Some critics argue that violent behaviour of the guards may be rooted in their following of a strong leadership, rather than from their immersion into attributed social role."
Social Psychology,Milgram experiment,"was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V","Various sources (Burger, Perry, Branningan, Griggs, Caspar): Experiment included many** **researcher degrees of freedom, going off-script, implausible agreement between very different treatments, and “only half of the people who undertook the experiment fully believed it was real and of those, 66% disobeyed the experimenter.”. Doliński et al.: comparable effects to Milgram. Burger: similar levels of compliance to Milgram, but the level didn't scale with the strength of the experimenter prods. Blass: average compliance of 63%, but suffer from the usual publication bias and tiny samples. (Selection was by a student of Milgram.) The most you can say is that there's weak evidence for compliance, rather than obedience. (""Milgram's interpretation of his findings has been largely rejected."")."
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles","N/A. Various sources (Billig, Perry, Tavris): No good evidence that tribalism arises spontaneously following arbitrary groupings and scarcity, within weeks, and leads to inter-group violence. The “spontaneous” conflict among children at Robbers Cave was orchestrated by experimenters; tiny sample (maybe 70?); an exploratory study taken as inferential; no control group; there were really three experimental groups - that is, the experimenters had full power to set expectations and endorse deviance; results from their two other studies, with negative results, were not reported. Set aside the ethics: the total absence of consent - the boys and parents had no idea they were in an experiment - or the plan to set the forest on fire and leave the boys to it."
Social Psychology,Digital technology use and adolescent wellbeing,Adolescents who spend more time on new media (including social media and electronic devices such as smartphones) are more likely to report mental health issues,"Orben & Przybylski: A large-scale analysis  on the association between adolescent well-being and digital technology use, demonstrates that screen time accounts for only 0.4 % of the variation in well-being of adolescents. Hence, the increased screen-time is [not strongly associated](http://www.ox.ac.uk/news/2019-01-15-technology-use-explains-most-04-adolescent-wellbeing) with a decreased wellbeing in adolescents. Median association of technology use with adolescent well-being was β=−0.035, SE=0.004."
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness","Sandstrom & Dunn, Open Science Collaboration: participants in the disconnection condition were no different from the beliefs of participants in the fear and control conditions combined, _t_(78) = .18, _p_ = .86. Bartz et al.: _r_=0.17. "
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",Smith: 264% decrease in deaths (Atlantic); 103% decrease (Pacific).
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations","Oswald: stereotype IAT _r_=0.03 [-0.08, 0.14], attitude IAT _r_=0.16 [0.11, 0.21]."
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour","Raudenbush: _d_=0.11 for students new to the teacher, tailing to _d_=0 otherwise. Snow: median effect _d_=0.035."
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated","Gibson et al.: No group differences, _η2_=.01; Asian-primed vs. female-primed, _p_=.18, _d_=.27; Including only those who were aware of the stereotypes, group accuracy _p_=.02, _η2_=.04, and the means followed the predicted pattern, Asian (M=.63), Control (M=.55), and Female (M=.51); Likewise, female-primed participants performed worse than Asian-primed participants, _p_=.02, _d_=.53. Moon & Roeder: Group accuracy, _p_=.44, _η2_=.004; female-primed and Asian-primed conditions, _p_=.43, _d_=.17; Analysing just those who were aware of the stereotype, _p_=.28, _η2_=.012; female-primed  participants  vs. Asian-primed  participants, _p_=.28, _d_=.27. "
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance","Stoet and  Geary: _d_= −0.61 for adjusted and 0.17 [−0.27, −0.07] for unadjusted scores. Together, only the group of studies with adjusted scores confirmed a statistically significant effect of stereotype threat. Flore and Wicherts: _g_= −0.22 [−0.21, 0.06) and significantly different from zero, but _g_ = −0.07 [−0.21, 0.06] and not statistically significant after accounting for publication bias. Flore et al.: _d_= −0.05 [−0.18, 0.07]. Agnoli et al.: Both estimated stereotype threat effects were nonsignificant (see also Table S22; https://osf.io/3u2jd), _Z_ = 1.53, _p_ = .25 for ninth grade female participants and _Z_ =.70, _p_ = .97 for eleventh grade female participants. \"
Social Psychology,Increase in narcissism,"leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”","Roberts doesn't give a _d_ but it's near 0. something like _d_=0.03 ((15.65 - 15.44) / 6.59). Wetzel: _d_ = -0.27 (1990 - 2010). Hamamura: _d_(leadership) = -0.26, _d_(vanity)=-0.39, _d_(entitlement) = -0.23. "
Social Psychology,Minimal group effect (MGE),"Minimal group effect** **(MGE)** (Minimal group paradigm). An intergroup bias that manifests as ingroup favouritism (i.e., a tendency to prefer ingroup members) when participants are assigned to previously unfamiliar, experimentally created and largely meaningless social identities. In essence, the paradigm investigates the impact of social categorization on intergroup relations in the absence of realistic conflicts of interests, showing that mere social categorization is sufficient to produce ingroup favouritism","Balliet et al.: _d _= 0.19 (for situations with no mutual interdependence between group members) and  _d _= 0.42 (for situations with strong mutual interdependence between group members). Fischer and Derham: _d _= 0.369 [0.33, 0.41]. Mullen et al.: _r_ = 0.264_. _The ingroup bias effect was obtained from a meta-analysis on 74 hypothesis tests derived from artificial groups. Lazić, Purić & Krstić: _d_ = 0.22 [0.07, 0.38]. Kerr et al.: : comparing US vs Australian sample, highlights the importance of context-dependent factors (like differences in methodological approach) and cultural variation of MGE; significant main effects of categorization (Group vs. No-group) on allocation measures, _ηp2_=0.031 to 0.081; the ingroup favouritism effect was present in both Context conditions, but was stronger in the public (_ηp2_= 0.072) than in the private context (_ηp2_= 0.020). Falk et al. : culture was a significant predictor of resource allocation such that Americans chose more in-group favouring strategies than did Japanese, _b_ = 1.43, _z_ = 9.52, _p_ &lt; .00; American participants were also more likely to show an in-group bias in group identification (in-group vs. out-group comparison, _d _= .94), perceived group intelligence (_d_ = .44), and perceived group personality traits (_b_ = .15,_ z_ = 17.51) then Japanese participants (_d _= .50, _d_ = -.003, _b_ = .04, _z_ = 2.75, respectively)."
Social Psychology,Solomon Asch’s conformity,study. **The degree to which a person's own opinions are influenced by those of a group,"Bond and Smith: _d_ = .92[.89-.96], average rate of incorrect answers: 25%. Friend et al./Griggs: The majority of academic textbooks present the study as evidence for overwhelming conformity, failing to report the evidence of independent tendencies among participants. A common practice seen in many academic textbooks and popular writings is to report the value of “75%” or “76%” as the general indicator of conformity. In reality, this is the fraction of respondents who yielded to the majority in at least one of the twelve trials. The reversal of this value (rarely mentioned in the literature) would be 24% - a fraction of completely independent respondents or 95% - a fraction of respondents who remain independent in at least one of twelve trials.	"
Social Psychology,Dynamic norms,Information about increasing minority norms increases interest/engagement in minority behaviour.​,Aldoh et al.:_ d_ = −0.02. 
Social Psychology,Social comparison,No robust evidence for an interaction effect between body dissatisfaction and social comparison on fat talk,Pollet et al.: Hedges’ _g_ (meta-analysis)=0.02. Hedges’ _g_ = -0.13 to 0.18.​
Social Psychology,Bystander effect,claims that the feeling of responsibility diffuses with an increasing number of other observers. Research about the bystander effect was sparked by the 1964 murder of Catherine “Kitty” Genovese. See this _[New York Times article](https://www.nytimes.com/1964/03/27/archives/37-who-saw-murder-didnt-call-the-police-apathy-at-stabbing-of.html)_ for details. Here’s a more detailed [resource](http://bps.stanford.edu/?page_id=3671,"Fischer et al.: Hedges’ _g _= -0.35; Although the present meta-analysis shows that the presence of bystanders reduces helping responses, the picture is not as bleak as conventionally assumed. (…) bystander inhibition is less pronounced especially in dangerous emergencies. "
Social Psychology,Colour red on attractiveness,Viewing the colour red enhances men's attraction to women. In a lingua franca this effect may reflect the amorous meaning in the human mating game. ​,"Peperkoorn et al.: Study 1: _η2p_= .03 (in support of white more attractive than red);  Study 2: _F_ = .07;​ Study 3: _d_ = −.12. Pazda et al.: Experiment 1: sexually receptive: _d_ = .42, attractive: _d_ = .30, sexually appealing _d_ = .47; Experiment 2: sexually receptive: _d_ = .25, attractive: _d_ = .16, perceptions of sexually appealing _d_ = .23; Experiment 3: sexually receptive: _d_ = .75, attractive: _d_ = .54, sexually appealing d = .63. "
Social Psychology,Big brother effect,Being watched makes someone more likely to cooperate,Northover et al.: 1st meta-analysis: _g_=03. Northover et al.: 2nd meta-analysis: _g_=0.13.​
Social Psychology,Imagined Contact - _Bias_,"Imagined Contact**. Imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can reduce intergroup bias","Firat and Ataca: _ηp2_ = .01. Hoffarth and Hodson: Study 1 (concerning gay people): many outcomes, largest _β_  = .10; Study 2 (concerning Muslims): many outcomes, largest β = .095. Miles and Turner: overall _d _= .35 [0.26, 0.44]."
Social Psychology,Imagined Contact -  _Intentions_,"Imagined Contact**. the claim that imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can increase **contact intentions","Klein et al.: _d _= 0.13 [0.00, 0.19] (NB: original study focused on ‘British Muslims’ - this on Muslims across cultures). Miles and Crisp: _d _= 0.35 and estimate for religious groups, _d _= 0.22. Crisp et al.: the observed effect size of 0.13 in the Many Labs study is substantially different from the original Husnu and Crisp study, and from our overall estimate of 0.35, but not from the most appropriate comparison: The meta-analytic estimate for religious outgroups (0.22)."
Social Psychology,Stereotype susceptibility effects,Awareness of stereotypes about a person’s in-group can affect a person’s behaviour and performance when they complete a stereotype-relevant task.​,Gibson et al.: _η2_ = .01 to _η2_ = .04 (with exclusions).​
Social Psychology,Positive mood-boost helping effect,People are more likely to do good when feeling good,"Batson et al.: OR = 4.3 [calculated]. Carlson et al.: _d _= .54 [reported]. Weyant & Clark: Study 1: OR = 4.2 (calculated, between dime and no-dime, excl. 2 other conditions), Study 2: OR = 0.7 [calculated]. Blevins & Murphy: OR = 0.9 [calculated]. Job: _negative _mood increases helping behaviour [so that control vs neutral might be insufficient](https://doi.org/10.2466/pr0.1974.34.1.326)."
Social Psychology,Superiority-of-unconscious decision-making effect,"deliberation without attention effect). While conscious reflection produces better choices on simple tasks, complex choices “should be left to unconscious thought”.​","All reported in Acker: Acker: _g_ = 0.471. Ham et al.: _g_ = 0.883 to _g_ = 1.055. Lerouge: _g_ = -0.064 to _g_ = 1.116. Newell et al.: _g_ = -0.504 to _g_ = 0.722. Payne et al.: _g_ = -0.483 to _g_ = 0.722. Phillips et al.: _g_ = -0.251. The mean effect size was g = .251.​ All reported in Nieuwenstein et al.: Abadie et al.: _g_ = -0.62 to _g_ = 0.22. Aczel et al.:_ g_ = -0.35. Ashby et al.: _g_ = -0.21 to _g_ = 1.00. Bos et al.:_ g_ = -0.10 to _g_ = 1.48. Calvillo and Penaloza:_ g_ = -0.29 to _g_ = -0.09. Dijksterhuis: _g_ = 0.24 to _g_ = 0.42. Dijksterhuis et al.:_ g_ = 0.70 to _g_ = 0.86. González et al.:_ g_ = 0.00. Hasford: _g_ = 0.43. Hess et al.:_ g_ = -0.14. Huizenga et al.:_ g_ = -0.50 to _g_ = -0.33. Lassiter et al.:_ g_ = 0.27 to _g_ = 0.51. Lerouge: _g_ = 0.38 to _g_ = 0.47. McMahon et al.:_ g_ = 0.62 to _g_ = 0.67. Messner et al.:_ g_ = 0.63. Newell et al.:_ g_ = -0.50 to _g_ = 0.17. Newell and Rakow:_ g_ = -0.37 to _g_ = 0.31. Nieuwenstein and Van Rijn:_ g_ = -0.74 to _g_ = 0.87. Nieuwenstein et al.:_ g_ = -0.01. Nordgren et al.:_ g_ = 0.27 to _g_ = 0.36. Payne et al.:_ g_ = -0.10. Queen and Hess:_ g_ = -0.21. Rey et al.:_ g_ = 0.27. Smith et al.:_ g_ = 0.25 to _g_ = 0.32. Strick et al.:_ g_ = 0.58 to _g_ = 1.21. Thorsteinson and Withrow:_ g_ = 0.18 to _g_ = 0.34. Usher et al.:_ g_ = 0.78 to _g_ = 1.04. Waroquier et al.:_ g_ = -0.09 to _g_ = 0.35. Pooled effect size of _g_ = 0.15 [0.03, 0.26]."
Social Psychology,Behavioural-consequences-of-automatic-evaluation,"Behavioural-consequences-of automatic-evaluation **(affective compatibility effect).** **Automatic classification of stimuli as either good or bad have direct behavioural consequences.​ Automatic evaluation results directly in behavioural predispositions toward the stimulus, such that positive evaluations produce immediate approach tendencies, and negative evaluations produce immediate avoidance tendencies","Rotteveel et al.: Study 1 – Evaluative judgement × Lever movement interaction effect _ηp2 _= 0.030 [reported, non-significant] / _d_ = 0.17 [converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Study 2 – Affective valence × Lever movement interaction effect _ηp2_ = 0.057 [reported, marginally significant] / _d_ = 0.24 [converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Phaf et al.: Positive emotions – The average effect size differed significantly from zero for explicit instructions to evaluate (_g _= 0_._287; _p &lt; _0_._0001; 95% CI = 0.204, 0.369) and for explicit-converted instructions (_g _= 0_._287; _p &lt; _0_._0001; 95% CI = 0.146, 0.429), but not for implicit instructions (_g _= 0_._028; _p _= 0_._572) [all reported]. Negative emotions – Effect sizes differed significantly from zero for explicit-converted instructions (_g _= 0_._389; _p _= 0_._001; 95% CI = 0.155, 0.624) and for explicit instructions (_g _= 0_._249; _p &lt; _0_._0001; 95% CI = 0.159, 0.339), but not for implicit instructions (_g _= 0_._103; _p _= 0_._0959) [all reported]. Both emotions – The average effect size differed significantly from zero for explicit-converted instructions (_g _= 0_._433; _p &lt; _0_._0001; 95% CI = 0.295, 0.571) and explicit instructions (_g _= 0_._403; _p &lt; _0_._0001; 95% CI = 0.286, 0.521), but not for implicit instructions (_g _= 0_._076; _p _= 0_._148) [all reported]."
