Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Evolutionary Psychology,Large parents have more sons,Bigger and taller parents have more sons,Big and tall parents have more sons:Further generalizations of the Trivers–Willard hypothesis,Kanazawa 2005,https://personal.lse.ac.uk/kanazawa/pdfs/JTB2005b.pdf,,"correlational design, N=22,680","105 (GS, December 2022)","22,680"
Evolutionary Psychology,Men’s strength predicts opposition to egalitarianism,Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality,"The Ancestral Logic of Politics: Upper Body Strength Regulates Mens Assertion of Self-Interest Over Economic Redistribution,",Petersen et al. 2013,https://journals.sagepub.com/doi/full/10.1177/0956797612466415,10.1177/0956797612466415,"cross-sectional design, n = 213 in Argentina, 486 in United States, 793 in Denmark, N = 1392","213(GS, May 2022)",213 & 1392
Evolutionary Psychology,Sex differences in mate preferences,"Men and women differ in preferences of a potential mate which reflects different evolutionary selection pressures. Across 33 countries (original study; 45 - replication) researchers found universal sex differences such as: men, more than women, prefer attractive, young mates, and  women, more than men, prefer older mates with financial prospects",Sex differences in human mate preferences: Evolutionary hypotheses tested in 37 cultures,Buss 1989,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/sex-differences-in-human-mate-preferences-evolutionary-hypotheses-tested-in-37-cultures/0E112ACEB2E7BC877805E3AC11ABC889,,"questionnaire asking about preferences concerning potential mates such as: good financial prospect, ambition and industriousness, age difference between self and spouse, physical attractiveness, chastity, etc., n=10,047","6,136(GS, June 2022)]​","10,047"
Evolutionary Psychology,Men's preference for competition,"Men’s preference for competition**. Men are more likely to select tournaments than women, because women tend to avoid competition and men look for competition","Do women shy away from competition? Do men compete too much?,",Niederle and Vesterlund 2007,https://web.stanford.edu/~niederle/Niederle.Vesterlund.QJE.2007.pdf,,"within-subject experiment, n=80","4001(GS, February 2023)]​",80
Evolutionary Psychology,Orgasm gap,"Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​",The Incidental Orgasm: The Presence of Clitoral Knowledge and the Absence of Orgasm for Women,Wade et al. 2005,https://www.tandfonline.com/doi/abs/10.1300/J013v42n01_07,10.1300/J013v42n01_07,"correlational study, n=833","135(GS, May 2023)]​",833
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged",The myth of masculinity,Plack 1981,https://mitpress.mit.edu/9780262660501/myth-of-masculinity/,,"theoretical paper / book, n=NA","2848(GS, July 2023)]​",
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters",Natural Selection of Parental Ability to Vary the Sex Ratio of Offspring,Trivers & Willard 1973,https://www.science.org/doi/abs/10.1126/science.179.4068.90,10.1126/science.179.4068.90,"theoretical paper, n = N/A","4568 (GS, August 2023)]​. First direct experimental replication: [Female-biased reproductive strategies in a Hungarian Gypsy population](https://royalsocietypublishing.org/doi/10.1098/rspb.1997.0003), Bereczkei and Dunbar, 1997; correlational study, n = 418. [citations = 187 (GS, August 2023)",
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons",Homosexuality in Men and Number of Older Brothers,Blanchard and Bogaert 1996,https://www.researchgate.net/profile/Ray-Blanchard/publication/14659093_Homosexuality_in_men_and_number_of_older_brothers/links/00b7d51f279d98eb3e000000/Homosexuality-in-men-and-number-of-older-brothers.pdf,,"correlational study, n = 604","373 (GS, August 2023)]​",604
Psychophysiology,Sympathetic nervous system activity predicts political ideology,There are psychophysiological correlates of political ideology – conservatives react with higher levels of electrodermal activity (EDA)/ skin conductance to threatening stimuli than liberals,Political Attitudes Vary with Physiological Traits,Oxley et al. 2008,https://www.science.org/doi/abs/10.1126/science.1157627,10.1126/science.1157627,"correlational study, n=46","858(GS, December 2022)",46
Behavioural Genetics,5-HTTLPR,5-HTT Gene-by-Environment Interaction** (5-HTT G x E). Polymorphisms in the serotonin transporter gene-linked promoter region (5-HTTLPR) moderate the experience of depression after stressful life events. People homozygous for the “short” allele (s/s) are significantly more likely to experience depression than people homozygous for the “long” allele (l/l) after multiple stressful life events; heterozygotes (s/l) demonstrate an intermediate response,Influence of Life Stress on Depression: Moderation by a Polymorphism in the 5-HTT Gene,Caspi et al. 2003,https://www.science.org/doi/10.1126/science.1083968,10.1126/science.1083968,"quasi-experimental analysis of how genotype (3 levels: s/s, s/l, l/l) and number of stressful life events (5 levels: 0, 1, 2, 3, 4+) across various categories (employment, financial, housing, health, relationship) that occurred after 21st birthday and before 26th birthday interacted to produce depression (measured by self-reported depression symptoms, probability of major depression episode, probability of suicide ideation/attempt, and informant reports of depression), 847 26-year-old participants from the Dunedin Study (a longitudinal study of 1037 non-Maori babies born between 1972-04-01 and 1972-03-31 in New Zealand)","6223 ([Dimensions, June 2022](https://app.dimensions.ai/details/publication/pub.1051420748))]​",
Applied Linguistics,Critical period hypothesis,"Critical period** **hypothesis**. How grammar-learning ability changes with age, finding that it is intact to the crux of adulthood (17.4 years) and then declines steadily",A critical period for second language acquisition: Evidence from 2/3 million English speakers,Hartshorne et al. 2018,https://www.sciencedirect.com/science/article/pii/S0010027718300994,,"cross-sectional and quasi-longitudinal design, n = 669,498","313 (GS, February 2022)","669,498"
Applied Linguistics,Motivational role of L2 vision,Mental imagery of oneself as a successful language user in the future can enhance one’s motivation and performance,"Motivation, vision and gender",You et al. 2016,https://onlinelibrary.wiley.com/doi/full/10.1111/lang.12140?casa_token=Y-6oCs7H830AAAAA%3AvfdGjNvGbpzSA_V5S1lWrdvF5zcq21C-VGbyOfYKrBHDMcG1EyNPwX74RP3qOGCO5j4z6RmF0kiGFuI,10.1111/lang.12140?casa_token=Y-6oCs7H830AAAAA:vfdGjNvGbpzSA_V5S1lWrdvF5zcq21C-VGbyOfYKrBHDMcG1EyNPwX74RP3qOGCO5j4z6RmF0kiGFuI,"correlational design, n=10,569","172(GS, October 2022)]​","10,569"
Educational Psychology,Flipped learning,students learn better if they do homework about a lesson before coming to class to study that lesson,Flip Your Classroom: Reach Every Student in Every Class Every Day,Sams and Bergmann 2012,https://books.google.com.sa/books?id=-YOZCgAAQBAJ&dq,,"book, n = NA","6585(GS, December 2021)]​",
Educational Psychology,Mindsets,"People’s beliefs about whether their talents and abilities are subject to growth and improvement. In recent years, mindset proponents have argued that interventions work but only for low SES populations or low-performing students",Implicit Theories of Intelligence Predict Achievement Across an Adolescent Transition,Blackwell et al.2007,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2007.00995.x?casa_token=Ni1cDqz-fsUAAAAA%3AhVt-ToNF1zme1Q8iVKNKkbUCnMsOuZlJ59ePmSuaeU7PKBEGVE1PZDI0pkB3gEcx_AkJm-7yMvPgHpA,10.1111/j.1467-8624.2007.00995.x?casa_token=Ni1cDqz-fsUAAAAA:hVt-ToNF1zme1Q8iVKNKkbUCnMsOuZlJ59ePmSuaeU7PKBEGVE1PZDI0pkB3gEcx_AkJm-7yMvPgHpA,"Study 1: longitudinal study, n=373; Study 2: n=99","4643(GS, October 2021)]​",373 & 99
Educational Psychology,First instinct fallacy,"the false belief that one’s initial thoughts/ideas/answers are right and closer to the truth than revised thoughts/ideas/answers. Surveys have shown that students generally believe that changing answers on a multiple-choice test lowers test scores, but research seems to show that most people who change their answers usually improve their test scores",Counterfactual thinking and the first instinct fallacy,Kruger et al. 2005,https://psycnet.apa.org/doi/10.1037/0022-3514.88.5.725,10.1037/0022-3514.88.5.725,"Study 1: compared the anticipated and actual outcome of sticking versus switching, n=1561; Studies 2-4: tested the counterfactual thinking interpretation of the first instinct fallacy, total N=118","183(GS, November 2022)]​",1561 & 118
Educational Psychology,Mirror reading and writing in dyslexia,"Strephosymbolia). Strephosymbolia is a term coined to describe a learning disorder in which symbols and especially phrases, words, or letters appear to be reversed or transposed in reading. The incidence of strephosymbolia seems to be widely documented.​",Word-blindness in school children,Orton 1928,https://jamanetwork.com/journals/archneurpsyc/article-abstract/643441,,"experimental clinic observational, n=15","535(GS, March 2023)]​",15
Educational Psychology,Pen mightier than the screen,Learning for conceptual-application questions is more effective when taking longhand notes than with a laptop,The Pen Is Mightier Than the Keyboard: Advantages of Longhand Over Laptop Note Taking,Mueller and Oppenheimer 2014,https://journals.sagepub.com/doi/full/10.1177/0956797614524581,10.1177/0956797614524581,"Experiment 1, n = 65 participants after exclusions, Experiment 2, n = 149; Experiment 3, n = 109","1585 (GS, October 2022)]​",65 & 149 & 109
Educational Psychology,Sleep-assisted learning,hypnopedia). Memorising new information while sleeping,The breaking of a habit by suggestion during sleep,Leshan 1942,https://psycnet.apa.org/record/1943-00131-001,,"between-subject experimental design, n=40 boys. [Citations=36(GS, March 2023)]​.",,40
Educational Psychology,Dr. Fox effect,"Dr. Fox Effect. **Students rate educators higher based on qualities beyond the educational content itself (e.g., charisma, enthusiasm, entertainment",The Doctor Fox lecture: A paradigm of educational seduction,Naftulin et al. 1973,https://journals.lww.com/academicmedicine/abstract/1973/07000/the_doctor_fox_lecture__a_paradigm_of_educational.3.aspx,,"within-subjects, Experiment 1: n = 11, Experiment 2: n = 11, Experiment 3: n = 33","743 (GS, February 2023)]​",11 & 11 & 33
Educational Psychology,Cooperative learning,"peer learning, collaborative learning). The idea that learners that work together in cooperative groups under positive interdependence reach better learning outcomes compared to students working individually (no interdependence) or competitively (negative interdependence).​",Games and Teams: A Winning Combination,Edwards et al. 1972,https://journals.sagepub.com/doi/10.1177/104687817200300301,10.1177/104687817200300301,"one study with a quasi-experimental 2 (cooperative vs. individual) x 2 (high vs. low maths ability) design, n=96 seventh-grade students in four classes","110(GS, June 2023)]​",96
Health Psychology,Stress as the main/sole cause of peptide ulcers,"Stress as the main/sole cause of peptic ulcers**. Stress was the main cause of peptic ulcers (with secondary contributing factors thought to be excess stomach acid, spicy food",Chronic stress and peptic ulcer,Gray et al. 1951,https://jamanetwork.com/journals/jama/article-abstract/313068,,"experimental and observational study, n= 7","279(GS, March 2023)",7
Health Psychology,Graphic images and cigarette use,Graphic warning labels). Introducing graphic warning labels (GWL) on cigarette packages reduces smoking prevalence.​,Cigarette graphic warning labels and smoking prevalence in Canada: a critical examination and reformulation of the FDA regulatory impact analysis,Huang et al. 2014,https://pubmed.ncbi.nlm.nih.gov/24218057/,,"quasi-experimental study, n= adult smoking prevalence data from the USA and Canada for 1991–2009","122(GS, February 2023)]​",
Health Psychology,Social isolation – all-cause mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people, is related with higher risk of mortality from all causes","Social ties and mortality in Evans County, Georgia",Schoenbach et al. 1986,https://academic.oup.com/aje/article-abstract/123/4/577/72639,,"prospective cohort follow-up study, n=2,059","780(GS, July 2023)]​","2,059"
Health Psychology,Social isolation – cardiovascular disease mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cardiovascular diseases.​",Social connections and mortality from all causes and from cardiovascular disease: prospective evidence from eastern Finland,Kaplan et al. 1988,https://academic.oup.com/aje/article-abstract/128/2/370/61127,,"prospective cohort follow-up study, n=13,301","663(GS, July 2023)]​","13,301"
Health Psychology,Social isolation – cancer mortality,"Social isolation, i.e. an objective lack of (or limited) social contact with other people is related with higher risk of mortality from cancer.​",Social integration and mortality: a prospective study of French employees of Electricity of France–Gas of France: the GAZEL Cohort,Berkman et al. 2004,https://academic.oup.com/aje/article/159/2/167/166374,,"prospective cohort follow-up study, n= 16,699","293(GS, July 2023)]​","16,699"
Health Psychology,Loneliness – all-cause mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from all causes","Social ties and survival among the elderly in Tampere, Finland",Jylhä & Aro 1989,https://pubmed.ncbi.nlm.nih.gov/2722360/,,"cross-sectional follow-up study, n=1060","105(GS, July 2023)]​",1060
Health Psychology,Loneliness – cardiovascular disease mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cardiovascular diseases",Social networks and longevity: a 14 year follow-up study among elderly in Denmark,Olsen et al. 1991,https://www.sciencedirect.com/science/article/abs/pii/0277953691902355,,"cross-sectional follow-up study, n=1752","184(GS, July 2023)]​",1752
Health Psychology,Loneliness – cancer mortality,"Loneliness, as a subjective feeling of distress, is related to higher risk of mortality from cancer.​",Contribution of risk factors to excess mortality in isolated and lonely individuals: an analysis of data from the UK Biobank cohort study,Elovainio et al. 2017,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(17)30075-0/fulltext,,"cohort follow-up study, n= 466,901","324(GS, July 2023)]​","466,901"
Health Psychology,Self-inflicted pain out of boredom,"Boredom is an important impetus for self-injury,  Participants could administer electric shocks in a boring, sad or neutral condition",Eating and inflicting pain out of boredom,"Havermans et al., 2015",https://doi.org/10.1016/j.appet.2014.11.007,10.1016/j.appet.2014.11.007,experiment; Study 1: n=60,"155 (GS, October 2023)]​",60
Political Psychology,Stereotype threat on gender differences in political knowledge,Making gender stereotypes about political knowledge salient decreases womens’ performance on political knowledge tests,Gender Differences in Political Knowledge: Bringing Situation Back In,Ihme and Tausendpfund 2018,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/gender-differences-in-political-knowledge-bringing-situation-back-in/4897AD1BEF5BC95E164F08BDFB5ED1AF,,2 experiments with Study 1: N= 603; Study 2: N=377,"18 (GS, February2022)]​",603 & 377
Political Psychology,Avoidance of dissonance-arousing situations,Ideological asymmetry in dissonance avoidance)**. **There are differences in how liberals and conservatives respond to dissonance-arousing situations – conservatives are more strongly motivated to avoid dissonance-arousing tasks than liberals.​​,Not for All the Tea in China!” Political Ideology and the Avoidance of Dissonance-Arousing Situations,Nam et al. 2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059837,10.1371/journal.pone.0059837,"two mixed-design experiments, n1=180, n2= 159","147(GS, December 2022)]​",
Political Psychology,Depressed-entitlement effect among women,"In the absence of clear-cut standards of comparison, women reward/pay themselves significantly less money than do men for the same amount of work","Sex, age, and equity behavior",Leventhal & Lane 1970,https://psycnet.apa.org/record/1970-20861-001,,"between-subjects experiment, N = 61","269(GS, October 2022)]​",61
Political Psychology,Gender effects of political candidates,Voters evaluate political candidates based on their gender or sex,"Sexism, Racism, and Ageism in Voting Behavior: An Experimental Analysis",Siegelmann and Siegelmann 1982,https://www.jstor.org/stable/3033922,,"experiment, n = 227","209 (GS, February 2023)",227
Political Psychology,Race/ethnicity effects of political candidates,Voters evaluate political candidates based on their race or ethnicity,"When White Voters Evaluate Black Candidates: The Processing Implications of Candidate Skin Color, Prejudice, and Self-Monitoring",Terkildsen 1993,https://www.jstor.org/stable/2111542?origin=crossref,,"experiment, n = 348","567 (GS, February 2023)",348
Political Psychology,The democratic peace,Citizens of democratic states are significantly more likely to approve of war against non-democratic states than war against other democracies.​,"Why Don´t Democracies Fight Each Other? An Experimental Assessment of the ”Political Incentive"" Explanation.",Mintz and Geva 1993,https://www.jstor.org/stable/174265,,"experiment, n = 44/34/39","268 (GS, February 2023)",44
Political Psychology,Moral foundations across the political spectrum,"Moral Foundations Theory is a framework that claims that humans have five innate and universal moral values: Care, Fairness, Loyalty, Authority, and Purity. While extremely influential, it has failed to replicate, with studies critiquing its factor structure (Harper and Rhodes 2020) and universality (Davis et. al. 2016) .​",Liberals and conservatives rely on different sets of moral foundations,Graham et. al. 2009,https://psycnet.apa.org/record/2009-05192-002,,"Web-based survey (n=2,212), web-based survey (n=3,303), web-based survey (n=2,030), text analysis (n=88)","4858(GS, March  2023)]​","2,212 & 3,303 & 2,030 & 88"
Political Psychology,Backfire,Being confronted with corrections of previously held political misconceptions can lead to an even increased alignment with those misperceptions,When Corrections Fail: The Persistence of Political Misconceptions,Nyhan and Reifler 2010,https://link.springer.com/article/10.1007/s11109-010-9112-2,10.1007/s11109-010-9112-2,"2 studies with different news piece stimuli and moderator variables, study 2 was divided into 3 parts (1: moderator = mortality salience, weapons of mass destruction in Iraq; 2: moderator = media source, A: weapons of mass destruction in Iraq, B: tax cuts increase government revenue, C: President Bush bans stem cell research), study 1: n=130, study 2: n=197","2,683 (GS, June 2022)]​",130 & 197
Political Psychology,Conspiracy mentality and political extremism,"Refers to a positive relationship between** **the general tendency to endorse conspiracy theories (i.e., conspiracy mentality) and the political ideologies at either side of the political spectrum (i.e., extreme political ideologies",Political extremism predicts belief in conspiracy theories,Van Prooijen et al. 2015,https://journals.sagepub.com/doi/abs/10.1177/1948550614567356,10.1177/1948550614567356,"cross-sectional design, Study 1 n=207, Study 2a n=1,010, Study 2b n=1,297, Study 3 n=268","525 (GS, January 2023)].​","207 & 1,010 & 1,297 & 268"
Political Psychology,"Voters ""elect"" rather than ""affect"" policies","Voters elect rather than affect policies.** Elected politicians do not change their policies (measured through roll call votes) in response to changes in the median voters policy preferences. This means that voters merely elect politicians with policies that they support, but that they do not affect these politicians policies afterward",Do Voters Affect or Elect Policies? Evidence from the U.S. House,Lee et al. 2004,https://academic.oup.com/qje/article-abstract/119/3/807/1938834?login=false,,"quasi-experiment, N = 915","983 (GS, February 2023)",915
Political Psychology,Personality correlates of sociopolitical attitudes,Liberals tend to socially conform whereas conservatives are more willing to violate established societal conventions,The nature of the relationship between personality traits and political attitudes,Verhults et al. 2010,https://www.sciencedirect.com/science/article/abs/pii/S0191886909004760,,"correlational study, N= 20,559 / 7234 twins","127(GS, February 2023)] (same data and sample used in later studies by the same authors [Verhulst et al. 2012](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3809096/?mod=article_inline))","20,559"
Political Psychology,Attractive politician effect,Voters tend to vote more for physically attractive candidates and politicians,Voters vote beautiful: The effect of physical appearance on a national election,Efrain & Patterson 1974,https://psycnet.apa.org/record/2007-01479-006,,"correlation study, n = 70","172 GS, July 2023)",70
Political Psychology,Working-class authoritarianism,The lower (or working) classes are more likely to possess authoritarian tendencies and to favour the ideology of anti-democratic movements in comparison with their middle and higher class counterparts,Democracy and working-class authoritarianism,Lipset 1959,https://www.jstor.org/stable/2089536,,"theoretical/review paper, n=NA","835(GS, July 2023)]​",
Political Psychology,Political Tolerance Asymmetry,"Asymmetry Hypothesis of Tolerance). Political tolerance and intolerance differ in their underlying psychology, making it easier to persuade the tolerant to become less tolerant than to convince the intolerant to become more tolerant.​",The paradoxes of political tolerance in processes of democratisation,Gibson 1996,https://www.tandfonline.com/doi/abs/10.1080/02589349608705033?journalCode=cpsa20,10.1080/02589349608705033?journalCode=cpsa20,"survey experiment, within-subjects design, n=3,317","70(GS, August 2023)]​","3,317"
Political Psychology,Cognitive ability of the right-wing – conservatism,Cognitive ability of the right-wing - conservatism**. Lower cognitive ability is associated with stronger endorsement of conservative attitudes.​,The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Cognitive ability of the right-wing – authoritarianism,Cognitive ability of the right-wing - authoritarianism**. Lower cognitive ability is associated with higher authoritarianism.​,The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Cognitive ability of the right-wing – dogmatism,Cognitive ability of the right-wing - dogmatism**. Lower cognitive ability is associated with higher dogmatism.​,The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Cognitive ability of the right-wing – ethnocentrism,Cognitive ability of the right-wing - ethnocentrism**. Lower cognitive ability is associated with higher ethnocentrism.​,The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Rigidity-of-the-right hypothesis – general conservatism,"Rigidity-of-the-right hypothesis**. Conservative political ideology is congenial to people who are cognitively, motivationally, and ideologically rigid.​",The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Rigidity-of-the-right hypothesis – economic conservatism,"Rigidity-of-the-right hypothesis**. Economic conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​",The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Rigidity-of-the-right hypothesis – social conservatism,"Rigidity-of-the-right hypothesis**. Social conservatism is congenial to people who are cognitively, motivationally, and ideologically rigid.​",The authoritarian personality,Adorno et al. 1950,https://books.google.rs/books?hl=en&lr=&id=tGeWEAAAQBAJ&oi=fnd&pg=PT14&dq=authoritarian+personality&ots=4JUlnRpeo4&sig=FJVqtIQB3CbHJGrS-Qsl5A6uagU&redir_esc=y#v=onepage&q=authoritarian%20personality&f=false,,"correlational study, n=2,099","23,687(GS, August 2023)]​","2,099"
Political Psychology,Motivated numeracy,People with higher numeracy are less accurate in evaluating contingency tables when the outcome is aligned with their politics,Motivated numeracy and enlightened self-government,Kahan et al. 2017,https://www.cambridge.org/core/journals/behavioural-public-policy/article/motivated-numeracy-and-enlightened-selfgovernment/EC9F2410D5562EF10B7A5E2539063806,,"experimental study, n=1111","892(Google Scholar, September 2023)]​",1111
Political Psychology,Conscientious conservatives fake news sharing,Personality moderates the relationship between political ideology and the sharing of misinformation; conscientious conservatives share less fake news.​,"Of pandemics, politics, and personality: The role of conscientiousness and political ideology in the sharing of fake news",Lawson & Kakkar 2022,https://psycnet.apa.org/record/2021-96824-001,,"correlational design, n1=488, n2=484, n3=479, n4=967, n5=285, n6=491","43(GS, September 2023)]​",
Comparative Psychology,Gaze following in monkeys,"Monkeys fail to follow the gaze of another agent, using the object choice task.  ​",Use of experimenter-given cues during object-choice tasks by capuchin monkeys,Anderson et al. 1995,https://www.sciencedirect.com/science/article/pii/0003347295801685,,"experimental design, 3 cue conditions, n = 3","250 (GS, June 2023)",3
Comparative Psychology,Pointing following in monkeys,"Monkeys fail to follow the point of another agent, using the object choice task.  ​",Use of experimenter-given cues during object-choice tasks by capuchin monkeys,Anderson et al. 1995,https://www.sciencedirect.com/science/article/pii/0003347295801685,,"experimental design, 3 cue conditions: gazing at correct object, gazing plus pointing, or pointing alone, n=3","250 (GS, June 2023)",3
Comparative Psychology,Gaze following in nonhuman primates,"Nonhuman primates fail to follow the gaze of another agent, using the object choice task.  ​",Chimpanzee gaze following in an object-choice task,Call et al. 1998,https://link.springer.com/article/10.1007/s100710050013,10.1007/s100710050013,"experimental design, n = 6 (same chimpanzees for both studies)","317(GS, June 2023)",6
Comparative Psychology,Pointing following in nonhuman primates,"Nonhuman primates fail to follow the point of another agent, using the object choice task.  ​",Production and comprehension of referential pointing by orangutans (Pongo pygmaeus),Call and Tomasello 1995,https://psycnet.apa.org/record/1995-12428-001,,"experimental design, n = 2 (same animals in both studies)","464(GS, June 2023)",2
Comparative Psychology,Gaze following in domesticated dogs,"Dogs follow the gaze of another agent, using the object choice task.  ​",Domestic dogs (canis familiaris) use human and conspecific social cues to locate hidden food,Hare and  Tomasello 1999,https://evolutionaryanthropology.duke.edu/sites/evolutionaryanthropology.duke.edu/files/site-images/HareTomasello1999_DomesticDogsUseCues%20.pdf,,"experimental design, dogs were exposed to local enhancement cues and to gaze and pointing cues, n=10","469 (GS, June 2023)]​",10
Comparative Psychology,Pointing following in domesticated dogs,"Dogs follow the point of another agent, using the object choice task.  ​",Use of experimenter-given cues in dogs,Miklosi et al. 1998,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021676#pone.0021676-Miklsi1,10.1371/journal.pone.0021676#pone.0021676-Miklsi1,"experimental design, Experiment 1: n=3, Experiment 2: n=6","554 (GS, June 2023)",3 & 6
Comparative Psychology,Pointing following in coyotes,"Coyotes do not follow the pointing of a human agent, using the object choice task",Human-Socialized Wolves Follow Diverse Human Gestures... And They May Not Be Alone,Udell et al. 2012,https://doi.org/10.46867/ijcp.2012.25.02.04,10.46867/ijcp.2012.25.02.04,"experiment, n=2","54(GS, January 2023)",2
Comparative Psychology,Gaze following in wolves,"Wolves do not follow the gaze of a human agent, using the object choice task",Cues to food location that domestic dogs (Canis familiaris) of different ages do and do not use,Agnetta et al. 2000,https://doi.org/10.1007/s100710000070,10.1007/s100710000070,"experiment, n=2","301(GS, February 2023)",2
Comparative Psychology,Pointing following in wolves,"wolves do not follow the pointing of a human agent, using the object choice task",The Domestication of Social Cognition in Dogs,Hare et al. 2002,https://doi.org/10.1126/science.1072702,10.1126/science.1072702,"experiment, n=7","1335(GS, February 2023)]​",7
Comparative Psychology,Pointing following in Asian elephants,"Asian elephants do not follow the pointing of a human agent, using the object choice task",Visual Cues Given by Humans Are Not Sufficient for Asian Elephants (Elephas maximus) to Find Hidden Food,Plotnik et al. 2013,https://doi.org/10.1371/journal.pone.0061174,10.1371/journal.pone.0061174,"experiment, n=7","35(GS, January 2023)",7
Comparative Psychology,Pointing following in African elephants,"African elephants follow the pointing of a human agent, using the object choice task",African Elephants Can Use Human Pointing Cues to Find Hidden Food,Smet and Byrne 2013,https://www.sciencedirect.com/science/article/pii/S0960982213010439,,"experiment, n=11","70(GS, January 2023)",11
Comparative Psychology,Gaze following in horses,"Horses do not follow the gaze of a human agent, using the object choice task","The use of human-given cues by domestic horses, Equus caballus, during an object choice task",Proops et al. 2010,https://doi.org/10.1016/j.anbehav.2010.02.015,10.1016/j.anbehav.2010.02.015,"experiment, n=28","104(GS, January 2023)",28
Comparative Psychology,Pointing following in horses,"Horses follow the pointing of a human agent, using the object choice task",Use of human-given cues by domestic dogs (Canis familiaris) and horses (Equus caballus),McKinley and Sambrook 2000,https://doi.org/10.1007/s100710050046,10.1007/s100710050046,"experiment, n=4","303(GS, January 2023)",4
